,F_value,pvalue,value_counts,name
h2o_c,inf,0.0,"[(0.9729668273340684, 17)]",H2O
k_e,15.0,0.0015017735386984323,"[(0.33619456366237477, 17)]",potassium
decdpr__tb_c,14.327805815835536,0.0017967577086606353,"[(0.5068071166861382, 2), (0.33560677481526735, 1), (0.01768031318890123, 1), (0.32384776164431056, 1), (0.5090611362760938, 1), (0.3298950855533369, 1), (0.5070160750062401, 1), (0.007347475311494545, 1), (0.33447460271510243, 1), (0.02978248647406856, 1), (0.329723235307154, 1), (0.3331360171588872, 1), (0.3276366486272612, 1), (0.009002713786608774, 1), (0.3234257578010393, 1), (0.5072960119006418, 1)]",decaprenylphosphoryl-beta-D-5-phosphoribose
decdr__tb_c,14.32034643533776,0.001800382492241263,"[(0.5070160750062401, 3), (0.3358157331353693, 1), (0.017680313188901287, 1), (0.32405671996441254, 1), (0.5090611362760937, 1), (0.33010404387343883, 1), (0.0073474753114946, 1), (0.33468356103520436, 1), (0.029782486474068504, 1), (0.32993219362725595, 1), (0.3333449754789891, 1), (0.3278456069473632, 1), (0.009002713786608774, 1), (0.32363471612114125, 1), (0.5075049702207437, 1)]",decaprenylphosphoryl-beta-D-5-ribose
pphthdl_c,12.970452366645848,0.002617857598413771,"[(0.5120394813649984, 1), (0.6967276468135403, 1), (0.48927483518561377, 1), (0.8316555323881787, 1), (0.8214895108666608, 1), (0.696727646813531, 1), (0.9314156736252567, 1), (0.10832168472494896, 1), (0.5258439466570214, 1), (0.07626442495616792, 1), (0.7586037086275077, 1), (0.7586037086275241, 1), (0.15856268756965436, 1), (0.09706845258225516, 1), (0.31049994092040895, 1), (0.7471647866090833, 1), (0.7586037086275231, 1)]",phenolic-phthiodiolone
pphthiocerol_c,12.94289466808805,0.0026384886369815123,"[(0.4731651885017945, 1), (0.6576041400401686, 1), (0.4843919543923293, 1), (0.7952108923424015, 1), (0.8145220973330514, 1), (0.6576041400401603, 1), (0.9237585112573407, 1), (0.10582915382526614, 1), (0.48779267628330536, 1), (0.07799652911727539, 1), (0.7223532753084757, 1), (0.7181823101066037, 1), (0.12590393147061574, 1), (0.09464653184086191, 1), (0.2773253728273328, 1), (0.7102901366500509, 1), (0.7181823101066028, 1)]",phenolphtiocerol
prepphth_c,12.92076212725087,0.0026551924134752465,"[(0.5115203360175862, 1), (0.6950613101226746, 1), (0.4907787628484731, 1), (0.8278654266300972, 1), (0.8242632805898935, 1), (0.695061310122665, 1), (0.9346096200451444, 1), (0.10836947462840207, 1), (0.5235244319888529, 1), (0.07273358068069313, 1), (0.7590270190151405, 1), (0.7590270190151588, 1), (0.15483929394935553, 1), (0.0970732286499687, 1), (0.3047177940561068, 1), (0.7439466932053933, 1), (0.7590270190151572, 1)]",phenolic-phthiocerol-precursor
ppdima_c,10.84961712025073,0.004920304268238912,"[(0.0, 8), (0.442857645072563, 1), (0.5344043353374178, 1), (0.6571670215172504, 1), (0.4428576450725286, 1), (0.8440185680818679, 1), (0.5247661168946077, 1), (0.5204621118540403, 1), (0.49123314760869896, 1), (0.5204621118540529, 1)]",phenol-phthiocerol-dimycocerosate-Mtb
aact_c,7.881450801869619,0.013260432135937786,"[(0.8585604343153797, 1), (0.9205846866752644, 1), (0.8735788363431369, 1), (0.8521065997565611, 1), (0.8735788363431332, 1), (0.8692740980091964, 1), (0.8735788363431357, 1), (0.9892804072273608, 1), (0.9205846866752592, 1), (0.944075324344968, 1), (0.9252719145413099, 1), (0.8585604343153779, 1), (0.8692740980091966, 1), (0.9892804072273611, 1), (0.9463359340542117, 1), (0.8637661288378427, 1), (0.8585604343153787, 1)]",Aminoacetone
pdima_c,5.138036950827306,0.038625642396380735,"[(0.0, 9), (0.49219086708604803, 1), (0.45784891121907334, 1), (0.5882933887788504, 1), (0.4921908670860093, 1), (0.5441785710563922, 1), (0.5389170046917079, 1), (0.50302831678781, 1), (0.5389170046917274, 1)]",phthiocerol-dimycocerosate-A-Mtb
2aobut_c,5.0300887569214865,0.04044435827600749,"[(0.8525828839653335, 1), (0.9078032227923671, 1), (0.8741595478360541, 1), (0.8318113188116255, 1), (0.8741595478360447, 1), (0.8572050340231657, 1), (0.8741595478360532, 1), (0.9882547098033624, 1), (0.9078032227923614, 1), (0.932593990942085, 1), (0.9183681372102711, 1), (0.8525828839653331, 1), (0.8572050340231666, 1), (0.9882547098033625, 1), (0.9247323662667211, 1), (0.8461790062405773, 1), (0.9183681372102699, 1)]",L-2-Amino-3-oxobutanoic acid
nodcoa_c,4.785512063954473,0.04494745859911033,"[(0.0, 4), (0.3758159531539975, 1), (0.3833996532695577, 1), (0.7130716993116311, 1), (0.5926487708523702, 1), (0.38403552152700277, 1), (0.9336317369513852, 1), (0.3840355215269997, 1), (0.8164081834321494, 1), (0.36454879691130554, 1), (0.3342709105957126, 1), (0.6049359899419795, 1), (0.7014246325932629, 1), (0.3342709105957218, 1)]",nonadecan-1-ol-CoA
nodcoa_e,4.785512063954473,0.04494745859911033,"[(0.0, 4), (0.3758159531539975, 1), (0.3833996532695577, 1), (0.7130716993116311, 1), (0.5926487708523702, 1), (0.38403552152700277, 1), (0.9336317369513852, 1), (0.3840355215269997, 1), (0.8164081834321494, 1), (0.36454879691130554, 1), (0.3342709105957126, 1), (0.6049359899419795, 1), (0.7014246325932629, 1), (0.3342709105957218, 1)]",nonadecan-1-ol-CoA
hepdcoa_c,4.726796492398219,0.04611408600021065,"[(0.0, 4), (0.3833317098019358, 1), (0.3904702097381965, 1), (0.7159482305203445, 1), (0.5974571789662226, 1), (0.39109587712096594, 1), (0.9329699482706344, 1), (0.3910958771209629, 1), (0.8129357465953297, 1), (0.37224530617180923, 1), (0.3424531508549407, 1), (0.6084525643081735, 1), (0.7000505302101958, 1), (0.3424531508549493, 1)]",heptadecanoyl-CoA
mkmeroacidACP_c,4.390232439985669,0.05352753213275269,"[(0.023356405742525576, 2), (0.3199155247729248, 1), (0.38786889842611805, 1), (0.7456195578757299, 1), (0.16744202270866942, 1), (0.3878688984262294, 1), (0.7456195578763567, 1), (0.6397623729308654, 1), (0.3878688984263152, 1), (0.7608593741555506, 1), (0.36870428337047567, 1), (0.31991552477376745, 1), (0.3985429906598546, 1), (0.8110224344369837, 1), (0.3633352376708934, 1), (0.4175019023526328, 1)]",methyl-hydroxy-keto-meroacid-ACP-1-cyclopropane-ring
phthiocerol_c,4.379474870529918,0.053786618346333845,"[(0.616777065166296, 1), (0.8063618741941522, 1), (0.6314113026071319, 1), (0.8346040168112382, 1), (0.8394916059013278, 1), (0.8063618741941447, 1), (0.13794969810028423, 1), (0.13794969810027224, 1), (0.635844188454048, 1), (0.10166950462783086, 1), (0.841014946098685, 1), (0.8355780379350167, 1), (0.16411743558571434, 1), (0.12337300282342023, 1), (0.36149728193274083, 1), (0.8251284386309098, 1), (0.8355780379350198, 1)]",phthiocerol-A
prephth_c,4.2892108014539385,0.05601954030404183,"[(0.6600667230756838, 1), (0.8460745149431974, 1), (0.6333017613152969, 1), (0.8663151014341351, 1), (0.8413820646094827, 1), (0.8460745149431884, 1), (0.1398401568084483, 1), (0.13984015680843553, 1), (0.6755568292030922, 1), (0.09385553784867595, 1), (0.8788676958443971, 1), (0.8788676958444045, 1), (0.1998048917394164, 1), (0.12526346153158352, 1), (0.3932083665556368, 1), (0.859245970341656, 1), (0.8788676958444068, 1)]",phthiocerol-precursor
phthdl_c,4.288568676907727,0.0560358106287248,"[(0.6632621983561279, 1), (0.8516612786564921, 1), (0.6337743759923382, 1), (0.8753078949439572, 1), (0.8418546792865288, 1), (0.8516612786564836, 1), (0.1403127714854896, 1), (0.14031277148547683, 1), (0.681143592916387, 1), (0.09878790990481545, 1), (0.8820631711248434, 1), (0.8820631711248484, 1), (0.20539165545271143, 1), (0.1257360762086247, 1), (0.4022011600654588, 1), (0.8670838983301664, 1), (0.8820631711248514, 1)]",phthiodolone
fald_c,4.118472163233138,0.06054839759692324,"[(0.13045551660351262, 8), (0.5189886356634335, 1), (0.9999999999998546, 1), (0.02963531409180256, 1), (0.8761147467448307, 1), (0.029635314091807127, 1), (0.5855591028512621, 1), (0.5855591028512364, 1), (0.53417063372526, 1), (0.1629278674709143, 1)]",Formaldehyde
