,FACOAL161_min,CYO1b_min,CYO1b_max,FACOALPREPH_min,FACOAL180_min,CHORS_min,FACOAL180_max,FACOAL140_max,FACOALPREPH_max,FACOAL140_min,NNAM_min,NADH5_min,DHPPDA2_min,DHPPDA_min,NADH10_max,NADH9_max,ALAR_max,NADH2r_min,ADNCYC_max,NADH2r_max,FACOAL161_max,EMB_min,TDPDRR_min,HEMEOS_min,MYC1M2_min,MSHS_min,CIGAMS_min,NAGINSP_min,FAS200_min,ACChex_min,ACCC_min,DCPT_min,DCPE_min,G3PD1ir_min,MYCSacp50_min,MYCSacp56_min,MYCSacp58_min,MCOATA_min,ALAR_min,FAS260_min,FAS240_L_min,APRAUR_min,MYC1M1_min,DHFS_min,CYST_II_min,FAD_8_max,CYST_II_max,NADH5_max,ALAALAr_max,ALAALAr_min,CHORS_max,PDIMAT_max,FACOAL200_max,PREPTHS_max,NNAM_max,CAT_min,FAD_10_max,FAD_9_max,PYK_max,FAD_3_min,FAS180_min,MYCSacp50_max,FAD_7_max,FAD_7_min,FAS120_min,FAS100_min,TDPDRR_max,TMDS_max,FAD_6_min,FAD_6_max,FAD_5_min,FAD_5_max,FAD_4_min,FAD_4_max,FAD_2_min,FAD_2_max,FAD_27_min,FAS140_min,FAS161_min,MYC1M2_max,FAS181_min,FAD_27_max,MYCSacp56_max,MYCSacp58_max,NADH10_min,MAN1PT2_max,NADH9_min,HEMEOS_max,MYC1M1_max,GXRA_min,FBPA_min,FBPA_max,FAS80_L_min,PDIMAT_min,PPDIMAT_min,FAS240_L_max,PREPTHS2_min,NAGINSP_max,FAD_26_min,ACCC_max,FAD_25_min,ASNt2r_max,FAD_26_max,CHSTEROLt_min,CIGAMS_max,CYSK2_I_max,CYSK2_I_min,DCPE_max,DCPT_max,DHFS_max,ECHA191_max,ECHA191_min,ECHA192_max,ECHA192_min,EMB_max,FACOAL200_min,APRAUR_max,ALAD_L_min,CHSTEROLt_max,FAD_22_min,FAD_23_min,FAD_22_max,FAD_21_min,FAD_21_max,FAD_20_min,FAD_20_max,FAD_23_max,FAD_24_max,FAD_24_min,ACChex_max,FAD_25_max,FAD_1_max,FAD_1_min,FAD_3_max,MSHS_max,ASPt2r_max,FAS260_max,PREPTHS_min,FAS160_min,FAD_13_max,FAD_12_max,FAD_11_max,FAD_14_max,FAD_17_max,FAD_16_max,FAD_18_max,FAD_19_max,FAD_15_max,G3PD1ir_max,PHETA1_min,TYRTA_min,ALAD_L_max,GXRA_max,VPAMTr_min,FAD_15_min,FAD_19_min,FAD_18_min,FAD_11_min,FAD_12_min,FAD_13_min,FAD_16_min,FAD_9_min,FAD_10_min,FAD_14_min,FAD_8_min,FAD_17_min,MCOATA_max,FAS200_max,DHFR_min,TMDS_min,MAN1PT_max,MAN1PT2_min,MAN1PT_min,PGCD_max,NARK_min,NARK_max,PGCD_min,PREPTHS2_max,PPDIMAT_max,CYSM_II_min,CYSM_II_max,CAT_max,ADNCYC_min,PPCOAC_min,KGD2_max,KGD2_min,VPAMTr_max,PHETA1_max,PYK_min,DHPPDA2_max,DHPPDA_max,ASNt2r_min,ASPt2r_min,TYRTA_max,DHFR_max,MCD_min,PPCOAC_max,FAS80_L_max,FAS160_max,FAS100_max,FAS140_max,FAS120_max,FAS181_max,Kabc_max,FAS180_max,Kabc_min,OXCDC_min,ACCOAC_min,MCD_max,FAS161_max,OXCDC_max,ACCOAC_max
sampled_map_0,0.19239749305845846,0.0,0.0,0.19239749305845846,0.19239749305845846,0.09151055787985157,0.08579610533628437,0.07800857607933605,0.08974442491888318,0.19239749305845846,0.19409203779578427,0.029181789870726005,0.4723588788933615,0.4723588788933615,0.15125023032607798,0.1467558741637421,0.04982282798331405,0.1773629969666155,0.27819928648484504,0.1499756475569821,0.19239749305845846,0.0,0.0,0.0,0.23465041487547264,1.542902427831422e-17,0.0,0.0,0.19239749305845846,0.0,0.0,0.0,0.0,0.12322487778130087,0.29121348753903303,0.0,0.0,0.29264752782668246,0.014956527951827834,1.9137002252909485e-17,0.0,0.0,0.0,0.0,0.27825155948184344,2.0088982121449236e-17,0.2103847763554264,0.12718332496436677,0.2149541167959455,0.23250217418572577,0.011236875028629066,0.31856276320384125,0.31856276320384125,0.31856276320384125,0.3222845762005266,0.1335203331580369,0.2467494211266926,0.2467494211266926,0.04222204273503354,7.398577412831245e-17,0.1923974930584585,0.3216770317384496,7.385993642587143e-17,2.5985025136520937e-17,0.058858244186675374,0.058858244186675374,0.321680433175267,0.11736301386168554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058858244186675374,0.0,0.3216770317384494,0.0,0.0,0.14511175518139238,0.32167675625719194,0.17915743742770815,0.1988203084561167,0.17915743742770815,0.3216785857159566,0.32167703173844936,0.04109157950343176,0.0,0.14511852930625743,0.0,0.19239749305845846,0.0,0.32167704803088415,0.0,0.3216768419405196,0.0,0.3216770317384494,0.0,0.05040295561257556,0.0,0.0,0.3216768419405196,0.0,0.0,0.3216770317384494,0.3216770317384494,0.3216708160714203,0.0,0.0,0.0,0.0,0.321680433175267,0.19239749305845846,0.32167703173844936,0.04109157950343176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3216770317384494,0.0,0.0,0.0,1.215006746191e-16,0.3216768419405196,0.050510927134054785,0.32167704803088426,0.1923974930584584,2.557192117131879e-16,0.2421070205256653,0.2421070205256653,0.2421070205256653,0.24158242547854952,0.2401922210668266,0.24019222106682658,0.24019222106682658,0.24019222106682658,0.24019222106682658,0.12169735826302241,0.015466041616463184,0.019890402435328684,0.062214471911837606,0.010329470101554904,0.06712920918931835,0.058858242005242103,0.058858242005242103,0.058858242005242103,0.058858244186675374,0.058858244186675374,0.058858244186675374,0.058858242005242103,0.05885824418667542,0.05885824418667542,0.058858245916626487,0.058858244186675346,0.05885824200524213,0.31418243869652124,0.3142949926417666,0.04825324504139599,0.04825324504139599,0.2216909470499942,0.09826733396854292,0.12745461059555896,0.08097837432068485,0.0,0.08639136405072237,0.08839542391578709,0.31856276320384114,0.31856276320384114,0.21117597882604758,0.208742738248294,0.026919226209314272,0.2867991946892888,0.2916781174666733,0.14493312152738735,0.12608398899715845,0.25536489950690894,0.1776716926097867,0.027326366914294367,0.252530388920626,0.34611224462040197,0.08113327065352342,0.14547363745407768,0.19062820676432754,0.19859917560326684,0.16146795467557776,0.05157198336215142,0.0,1.1989652517317355e-16,0.0,0.0,0.0,0.0,0.2723614391185836,8.131291597483643e-17,0.2754359826692317,0.4400288988430704,0.04620916604782973,0.06660465074251111,0.0,0.47608902682149123,0.06837241844103997
sampled_map_1,0.3211887600161044,0.0,0.0,0.3211887600161044,0.3211887600161044,0.054614360405207354,0.2803459908627674,0.2692004818963034,0.28350558387228425,0.3211887600161044,0.0811953882074946,0.20868299762674306,0.031879729161620914,0.031879729161620914,0.1982220280091593,0.13084029471510164,0.10875237181121986,0.12217731584961314,0.5257548766402904,0.0,0.1962709604648057,0.0,0.0,0.0,0.006877091252792112,2.9417759365984403e-18,0.0,0.0,0.4789319034133146,0.0,0.0,0.0,0.0,0.0,0.04244106834581083,0.0,0.0,0.48948096224422366,0.0,2.4833521663579948e-17,0.0,0.0,0.0,0.0,0.08422349478863089,0.19690058898058674,0.08726307807815048,0.10917948594005027,0.019376826163856373,0.018806115268104762,0.19924401465433517,0.04022451634815623,0.04022451634815623,0.04022451634815624,0.18558740273591603,0.3528907221109002,0.1886187361921189,0.1886187361921189,0.008087861387656055,5.0749222880118405e-17,0.47893190341331476,2.7107776132434708e-17,8.937626764283316e-18,2.243609706454335e-17,0.12194574231775446,0.12194574231775446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12194574231775446,0.0,0.0,0.0,0.0,0.1527293931992346,0.0,0.0372411800625368,0.0,0.037323215136033705,0.0,0.0,0.0,0.0,0.05707286884600427,0.0,0.4732694711813485,0.48948096281248643,0.0,0.48948096281248643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4732694711813485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.215823453001859e-17,2.4782422194321977e-17,5.614153290581642e-17,1.2963528981402612e-17,0.4732694711813485,1.1161886681330727e-16,0.1872501039917723,0.1872501039917723,0.1872501039917723,0.18855944950343703,0.1891328833984415,0.18913288337178522,0.1891328833984415,0.1891328833984415,0.1891328833984415,0.0,0.2829804323215794,0.2844905143212482,0.0555449794655975,0.007510337705642234,0.1847207462284113,0.12194574231775453,0.12194574231775453,0.12194574231775453,0.12194574231775453,0.12194574231775453,0.12194574231775453,0.12194574231775453,0.12194574231775453,0.12194574231775453,0.12194574231775453,0.12194574231775451,0.12194574231775454,0.0303528433022421,0.03330272325778439,0.18102889909475572,0.09127644064633253,0.0820916969313536,0.0820916969313536,0.0820916969313536,0.0654397331291381,0.2378411954995737,0.1731953534368982,0.0835354506539164,0.019065769363328468,0.019065769363328468,0.1653635074522813,0.16429295323522833,0.20121031054154262,0.545539932992852,0.09384644997165242,0.22619890828404926,0.21961328642886627,0.2166061269268289,0.2166061269268289,0.08441764316765436,0.03187972916162091,0.03187972916162091,0.20991129586047413,0.21200250312604224,0.21660612692682887,0.0,0.24655585555229373,0.2878531232396009,0.0,1.6187240780652802e-16,0.0,0.0,0.0,0.0,0.32979779574665957,1.786792921649258e-17,0.0,0.3983926068963546,0.652079721095352,0.2093458981573354,0.0,0.3948422924780536,0.232827895651834
sampled_map_2,0.33532305185097777,0.315390543945217,0.24070435958836459,0.23043989528253042,0.22942152328266657,0.2219822061569419,0.22072499426458914,0.22071712680799807,0.22070385231442147,0.213786176563019,0.1914682725261163,0.15426918548089394,0.15417817877080203,0.15346118519002608,0.15144631425286467,0.14287010148328388,0.133268580824659,0.1277046135535431,0.0741129886497845,0.06830433397627111,0.05851563636473464,0.050298067252382846,0.050298067252382846,0.050298058283936645,0.05029805651713254,0.05029805627814277,0.05029805627814273,0.05029805627814273,0.05029805581033051,0.0502980557198434,0.0502980557198434,0.05029805571155563,0.05029805571155563,0.050298055668432214,0.05029805562972365,0.050298055629723615,0.050298055629723615,0.050298055623889795,0.05029805557877282,0.05029805557406254,0.05029805557406252,0.05029805550872237,0.05029805370175536,0.050298050321297486,0.04985811764716915,0.0494309586468107,0.04162707997489259,0.039732543180959194,0.032779365503545155,0.02667971017420275,0.023342679904812456,0.01919875565246533,0.01919875565246533,0.019198755652465312,0.015790983088717663,0.010715902867503239,0.009059751279419511,0.009059751279419511,0.005906388790254888,1.0972710218648968e-16,2.876031504700732e-17,1.5673053086690375e-17,1.5219701694105063e-17,1.3360725547532432e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2525541130718867e-18,1.2206109724986322e-17,1.3558459840550904e-17,1.4068502526498668e-17,3.113851357658379e-17,1.3704729946386237e-16,0.0007912545410795213,0.0007912545410795213,0.0007912545410795213,0.0009659784371110613,0.001596750612034704,0.0015967506120347183,0.0015967506120347183,0.0015967506120347183,0.0015967506120347183,0.010899333339815045,0.02278573873838305,0.02296152652657694,0.028834307951248864,0.029957186118473825,0.030204003107857876,0.031040049936716302,0.031040049936716302,0.031040049936716302,0.031040049936716302,0.031040049936716302,0.031040049936716302,0.031040049936716302,0.03104004993671632,0.03104004993671632,0.03104004993671632,0.03104004993671634,0.031040049936716354,0.033641424842458495,0.037234362465190324,0.04072087563309292,0.04259607849251424,0.04985811764716918,0.04985811764716918,0.04985811764716918,0.05185985030419221,0.05187308474925317,0.05224217769678759,0.054392169997531443,0.05531721241361027,0.05531721241361027,0.07323456171966002,0.08343319690898333,0.09841722225614347,0.1296451517905281,0.13504769429866142,0.14185648092337655,0.14478182775338633,0.1450762777346209,0.1509050607607258,0.1513817700236269,0.15346118519002616,0.1541781787708018,0.15426918548089397,0.15426918548089397,0.15991094039421427,0.16529462718821747,0.25566863378852794,0.341567360303279,0.34215216166663553,0.35155588937620896,0.3642795294309136,0.3642795294309136,0.3642795294336241,0.39465447699012246,0.40891902294269333,0.4094996523121405,0.41285741189700953,0.5063145598841757,0.5302053187001435,0.5731774596431104,0.6024065886903349,0.6179359113846401,0.6617145396637959
