,F_value,pvalue,value_counts,name
sucgsa_c,8.735933036669648,0.009819779824157918,"[(0.02408388661498541, 1), (0.013200254044498996, 1), (0.13839714200747322, 1), (0.02408388661498738, 1), (0.024083886614987435, 1), (0.024083886614988365, 1), (0.013200254044497858, 1), (0.13839714200747355, 1), (0.013200254044515775, 1), (0.056268680315289935, 1), (0.13839714200747338, 1), (0.024083886614986325, 1), (0.061260419171710115, 1), (0.02408388661499107, 1), (0.09493047118385149, 1), (0.024083886614986713, 1), (0.024083886614987712, 1)]",N2-Succinyl-L-glutamate-5-semialdehyde
Ac1PIM4_c,8.291804273551637,0.011460008175866024,"[(0.210697354795101, 1), (0.35192820831558064, 1), (0.7062242260697635, 1), (0.19378190954738972, 1), (0.2621898051122543, 1), (0.20882717245359456, 1), (0.47357793329490927, 1), (0.7733714758231294, 1), (0.4326936154799359, 1), (0.44728848691266954, 1), (0.7085465441397469, 1), (0.19378190954738822, 1), (0.5220869932453637, 1), (0.22633929592848356, 1), (0.4137529432493814, 1), (0.16110011085376408, 1), (0.19378190954739188, 1)]",acyl-phosphatidylinositol-mannoside-tetra-mannose-tuberculosis
arg__L_c,8.248576157366248,0.01163580968432625,"[(0.22769973314808778, 1), (0.6721600771351371, 1), (0.9999999999987733, 1), (0.22769973314854008, 1), (0.2276997331485483, 1), (0.3313378351279107, 1), (0.6721600771351431, 1), (0.9999999999987895, 1), (0.6721600771351749, 1), (0.7232983553489957, 1), (0.9999999999987988, 1), (0.22769973314853653, 1), (0.5911453081992032, 1), (0.33133783512791204, 1), (0.8792320476665113, 1), (0.3313378351279105, 1), (0.22769973314854053, 1)]",L-Arginine
arg__L_e,8.248576157366216,0.01163580968432638,"[(0.22769973314808756, 1), (0.6721600771351369, 1), (0.9999999999987735, 1), (0.22769973314854008, 1), (0.2276997331485483, 1), (0.3313378351279107, 1), (0.6721600771351434, 1), (0.9999999999987895, 1), (0.6721600771351751, 1), (0.7232983553489957, 1), (0.9999999999987991, 1), (0.2276997331485363, 1), (0.5911453081992032, 1), (0.33133783512791204, 1), (0.8792320476665113, 1), (0.33133783512791026, 1), (0.22769973314854053, 1)]",L-Arginine
glu__L_e,8.245045881488942,0.011650302935382603,"[(0.08061987172035878, 2), (0.08061987172039664, 1), (0.11750038077006808, 1), (0.7038323093692078, 1), (0.08061987172035812, 1), (0.13192342645149457, 1), (0.11750038077007163, 1), (0.7038323093691983, 1), (0.1175003807701489, 1), (0.23693482854947645, 1), (0.7038323093692105, 1), (0.26181410967347885, 1), (0.13192342645150046, 1), (0.44814996686638864, 1), (0.13192342645148725, 1), (0.08061987172036067, 1)]",L-Glutamate
PIM6_c,8.22464708444483,0.01173445542659788,"[(0.26560490265341025, 1), (0.38996106996389135, 1), (0.8509928789451084, 1), (0.25534344074678755, 1), (0.2890326550567608, 1), (0.2446623878614131, 1), (0.5044788941399089, 1), (0.8664496397550949, 1), (0.5001996748554618, 1), (0.49103211407110225, 1), (0.8524016729828159, 1), (0.2553434407467868, 1), (0.5612370828616015, 1), (0.2420657557339072, 1), (0.46092908544704325, 1), (0.17951859832164563, 1), (0.2553434407467894, 1)]",phosphatidylinositol-mannoside-hexa-mannose-tuberculosis
gua_c,8.202113000520372,0.011828229081034881,"[(0.14772870755188128, 1), (0.5654632931277328, 1), (0.9291952470363944, 1), (0.1477287075528848, 1), (0.14772870755288992, 1), (0.21518692796631844, 1), (0.5654632931277248, 1), (0.7378399970458238, 1), (0.565463293127715, 1), (0.597277584658058, 1), (0.8272348566944427, 1), (0.14772870755288192, 1), (0.6054697079347977, 1), (0.2642474519033279, 1), (0.5587690736259052, 1), (0.21518692796629846, 1), (0.19678923148991112, 1)]",Guanine
ppm_c,8.153541877174106,0.01203329458414437,"[(0.3389257485564466, 1), (0.5882656112006964, 1), (0.9999999999994951, 1), (0.33892574855648905, 1), (0.33892574855648944, 1), (0.2884143106637605, 1), (0.6046650596091315, 1), (0.9999999999995075, 1), (0.604665059609023, 1), (0.6706778018348013, 1), (0.99999999999949, 1), (0.33892574855648466, 1), (0.6280750745783653, 1), (0.28841431066377826, 1), (0.6778317557164832, 1), (0.2787233116100632, 1), (0.3389257485564906, 1)]",D-Mannosyl-1-phosphoundecaprenol
gdpmann_c,8.139081138997676,0.012095133739539002,"[(0.2810587611406995, 2), (0.28105876114024386, 1), (0.5889280988392266, 1), (0.9691005476313468, 1), (0.28105876114070105, 1), (0.2810587611407074, 1), (0.6323731266078121, 1), (0.8855924187969264, 1), (0.6323731266077761, 1), (0.6070749437963953, 1), (0.9691005476313526, 1), (0.6887601632810494, 1), (0.28105876114070405, 1), (0.6294517448080881, 1), (0.25538559747641987, 1), (0.2810587611406987, 1)]",GDP-D-mannose
gsn_c,8.132945580256383,0.012121481726469112,"[(0.20756788169857793, 1), (0.5661089500255936, 1), (0.9526718244304595, 1), (0.2075678816992857, 1), (0.20756788169928891, 1), (0.2321631065243071, 1), (0.5661089500255883, 1), (0.8247638170066856, 1), (0.5661089500255663, 1), (0.5873746463546776, 1), (0.8845182181644584, 1), (0.20756788169928536, 1), (0.6199530288165462, 1), (0.2649567396243084, 1), (0.5616343182724624, 1), (0.23216310652429434, 1), (0.24036151479929563, 1)]",Guanosine
