,0
DHPPDA_max,0.045755341936629355
MAN1PT2_max,0.06734293325257788
TMDS_min,0.028134330576388023
DHFR_min,-0.029976424762779858
DHPPDA2_max,0.05144454956706651
ALAD_L_max,0.10634702074812745
MYC1M1_max,0.07895819311583749
HEMEOS_max,0.07895833529462065
MYC1M2_max,0.07895855385055893
MSHS_max,0.07895856202042394
CIGAMS_max,0.07895856202042394
NAGINSP_max,0.07895856202042394
MYCSacp50_max,0.07895857227700993
ACChex_max,0.07895864234159478
ACCC_max,0.07895864234159478
DCPT_max,0.07895866651348013
DCPE_max,0.07895866651348013
APRAUR_max,0.0789586676254613
FAS260_max,0.0789586714948774
FAS240_L_max,0.0789586714948774
MYCSacp58_max,0.07895869931570701
DHFS_max,0.07895874212020564
TDPDRR_max,0.07895875324575315
EMB_max,0.07895875324575315
MAN1PT_max,0.2673013908469759
PPCOAC_max,0.12280229170854207
CHORS_max,0.06068884234232524
ACCOAC_max,0.22035731952814608
FACOAL140_max,0.16629265401787643
FACOALPREPH_max,0.15662846511005182
FACOAL180_max,0.15713427233357274
MCD_max,0.09992439845044893
CYST_II_max,0.1502028903394798
TMDS_max,0.22613808010042594
NNAM_max,0.5952715195333904
