,F_value,pvalue,value_counts,name
1pyr5c_c,7.905951562097988,0.009066416689901255,"[(0.02531222936707367, 1), (0.543276850924961, 1), (0.8801269367047582, 1), (0.30017824367246343, 1), (0.4369388934147472, 1), (0.5025855614641568, 1), (0.5023816196462945, 1), (0.007816784261769849, 1), (0.42349561741133407, 1), (0.982175061076052, 1), (0.40160929722996114, 1), (0.6352737716826589, 1), (0.43693889341474607, 1), (0.9999999999999796, 1), (0.40160929722996247, 1), (0.4016092972299619, 1), (0.40160929722994726, 1), (0.30017824367245244, 1), (0.34034072548713884, 1), (0.32601462736221226, 1), (0.331819437909681, 1), (0.007816784261770182, 1), (0.41264228183207236, 1), (0.300178243672469, 1), (0.4016092972299628, 1), (0.0, 1), (0.3595473292788837, 1), (0.4016092972299405, 1), (0.30017824367245743, 1)]",1-Pyrroline-5-carboxylate
citr__L_c,7.507760076818694,0.010754945651483772,"[(0.19528536139071864, 1), (0.7654695290634881, 1), (0.8203772192817531, 1), (0.6278677587834544, 1), (0.8557215623482932, 1), (0.7492928810293172, 1), (0.7258586173543189, 1), (0.07671602783151188, 1), (0.8289999780467366, 1), (0.9999999999997673, 1), (0.785495913291293, 1), (0.9178558942802961, 1), (0.8557215623482958, 1), (0.9999999999999865, 1), (0.7854959132912978, 1), (0.7854959132912984, 1), (0.7854959132912746, 1), (0.6278677587834497, 1), (0.7076998728677789, 1), (0.6792234777791927, 1), (0.6907618657703027, 1), (0.05185425725233467, 1), (0.8074264924188156, 1), (0.6278677587834478, 1), (0.7854959132912989, 1), (0.0, 1), (0.7458773886933568, 1), (0.7854959132912982, 1), (0.6278677587834525, 1)]",L-Citrulline
arab__D_c,7.452020242474833,0.011017544009120259,"[(0.031535015270086605, 1), (0.7418062667589506, 1), (0.7277294122512707, 1), (0.4361338070040995, 1), (0.5005003752526025, 1), (0.6969844266406579, 1), (0.6584151764275877, 1), (4.996003610813204e-16, 1), (0.47722552729150786, 1), (0.7971670251950889, 1), (0.5783321438017333, 1), (0.868104852413412, 1), (0.5005003752526281, 1), (0.9257913813622612, 1), (0.5783321438017328, 1), (0.5783321438017317, 1), (0.5783321438017327, 1), (0.43613380700411125, 1), (0.29476446077651186, 1), (0.286874294500334, 1), (0.36642765770054797, 1), (0.0, 1), (0.5250457343805532, 1), (0.4361338070040937, 1), (0.5783321438017306, 1), (0.20689584226349106, 1), (0.30534258862372526, 1), (0.5783321438017611, 1), (0.4361338070040936, 1)]",D-Arabinose
mal__L_e,7.317869020624245,0.01167873527916624,"[(0.11321881204503736, 1), (0.4572402741104967, 1), (0.6720854360407861, 1), (0.4028774401010936, 1), (0.6650506994888711, 1), (0.4572402741104916, 1), (0.4572402741104705, 1), (0.12858028575206526, 1), (0.621770980571276, 1), (0.6423990337991493, 1), (0.5513094513018549, 1), (0.5462994808309621, 1), (0.6650506994889217, 1), (0.6423990338005342, 1), (0.5513094513018607, 1), (0.5513094513018425, 1), (0.5513094513018472, 1), (0.4028774401010943, 1), (0.5321778370827216, 1), (0.4860559319848333, 1), (0.5047441273920624, 1), (0.12858028575206626, 1), (0.5868293998789992, 1), (0.4028774401010896, 1), (0.5513094513018594, 1), (0.14119731484805476, 1), (0.5940122004668918, 1), (0.5513094513018492, 1), (0.40287744010108073, 1)]",L-Malate
fum_e,7.317869020624191,0.011678735279166491,"[(0.1132188120450387, 1), (0.45724027411050183, 1), (0.6720854360407941, 1), (0.40287744010109294, 1), (0.6650506994888793, 1), (0.4572402741104967, 1), (0.45724027411047585, 1), (0.12858028575206681, 1), (0.6217709805712833, 1), (0.6423990337991615, 1), (0.5513094513018616, 1), (0.5462994808309708, 1), (0.6650506994889248, 1), (0.6423990338005611, 1), (0.5513094513018674, 1), (0.5513094513018523, 1), (0.551309451301854, 1), (0.4028774401010987, 1), (0.5321778370827283, 1), (0.4860559319848411, 1), (0.5047441273920684, 1), (0.12858028575206626, 1), (0.5868293998790054, 1), (0.40287744010109494, 1), (0.5513094513018656, 1), (0.14119731484805642, 1), (0.5940122004668652, 1), (0.5513094513018552, 1), (0.4028774401010854, 1)]",Fumarate
trdrd_c,7.315075128524351,0.01169295871021518,"[(0.76780769502158, 3), (0.6822611555959881, 2), (0.9347480540755543, 1), (0.18211099650493157, 1), (0.4050953126109294, 1), (0.76780769502159, 1), (0.6167081115212545, 1), (0.18211099650494655, 1), (0.2906031329095854, 1), (0.9258947015845205, 1), (0.6416517213986743, 1), (0.5694469488513376, 1), (0.05538552048439871, 1), (0.616708111521242, 1), (0.20833827193210586, 1), (0.6822611555959971, 1), (0.6822611555960081, 1), (0.6932873714158299, 1), (0.719869032210696, 1), (0.70909837410088, 1), (0.9258947015845191, 1), (0.6617897717162147, 1), (0.682261155595993, 1), (0.8252333026300648, 1), (0.657650073488601, 1), (0.6822611555959981, 1)]",Reduced-thioredoxin
qh2_c,7.18855428442249,0.012357348992921994,"[(0.7678076950215814, 3), (0.6822611555959961, 3), (0.9347480540755542, 1), (0.1821109965049339, 1), (0.4050953126109309, 1), (0.6167081115212507, 1), (0.10671344413977113, 1), (0.2906031329095716, 1), (0.9258947015845203, 1), (0.6416517213986682, 1), (0.5694469488513327, 1), (0.05538552048439216, 1), (0.6167081115212267, 1), (0.20833827193210108, 1), (0.6822611555959912, 1), (0.6822611555960104, 1), (0.7678076950215766, 1), (0.6932873714158339, 1), (0.7198690322106998, 1), (0.7090983741008956, 1), (0.9258947015845191, 1), (0.6617897717162191, 1), (0.6822611555959864, 1), (0.8252333026300632, 1), (0.6576500734885965, 1)]",Ubiquinol
glu5sa_c,7.036164571281012,0.01321295323333431,"[(0.31308266600793616, 2), (0.018995030401505797, 1), (0.507464199682583, 1), (0.8941482871988602, 1), (0.22840129576703866, 1), (0.3536389646100499, 1), (0.4607529925336012, 1), (0.46051887932100416, 1), (0.011691851480803317, 1), (0.3382068743893319, 1), (0.9795380184425853, 1), (0.3130826660079355, 1), (0.5813157403132136, 1), (0.353638964610046, 1), (0.9999999999999769, 1), (0.31308266600793516, 1), (0.3130826660079196, 1), (0.22840129576702645, 1), (0.2745054628387064, 1), (0.2580599447433733, 1), (0.2647235258570774, 1), (0.011691851480803706, 1), (0.32574788345394196, 1), (0.22840129576704354, 1), (0.0, 1), (0.2965535144053369, 1), (0.3130826660079112, 1), (0.22840129576703322, 1)]",L-Glutamate-5-semialdehyde
argsuc_c,6.806349928582542,0.014628443340578851,"[(0.22697116214424765, 1), (0.7801390344278237, 1), (0.8072629271846807, 1), (0.6670768080962378, 1), (0.9128415727712642, 1), (0.7592124854218065, 1), (0.7289672102877877, 1), (0.09199061612965195, 1), (0.8728404954578299, 1), (0.9850931945738939, 1), (0.8401649350219875, 1), (0.9341489929428439, 1), (0.912841572771272, 1), (0.985093194574147, 1), (0.8401649350219915, 1), (0.8401649350219871, 1), (0.8401649350219751, 1), (0.667076808096234, 1), (0.7373483255174023, 1), (0.6986685996631067, 1), (0.7321660211035471, 1), (0.059828757918807096, 1), (0.8560956690914174, 1), (0.6670768080962322, 1), (0.8401649350219929, 1), (0.0, 1), (0.7892051648868859, 1), (0.8401649350219862, 1), (0.667076808096236, 1)]",N-omega--L-Arginino-succinate
arg__L_e,6.78028092234577,0.014799223732343303,"[(0.24887178742830895, 1), (0.7992679540630979, 1), (0.8101944054133194, 1), (0.6800471314781507, 1), (0.9187861184043488, 1), (0.7763202444351589, 1), (0.7431537729260529, 1), (0.10264824775481568, 1), (0.8787122387201093, 1), (0.9999999999998338, 1), (0.8490521129594284, 1), (0.9525522829680094, 1), (0.9187861184043528, 1), (0.9999999999999881, 1), (0.8490521129594308, 1), (0.8490521129594275, 1), (0.8490521129594146, 1), (0.6800471314781463, 1), (0.7457809770793935, 1), (0.7074050018993139, 1), (0.7425009223361653, 1), (0.06738008275040658, 1), (0.8634104876163097, 1), (0.6800471314781448, 1), (0.8490521129594326, 1), (0.0, 1), (0.797230586315439, 1), (0.8490521129594263, 1), (0.6800471314781498, 1)]",L-Arginine
