,F_value,pvalue,value_counts,name
mmmeroacidcyc1AMP_c,3.6377853879197377,0.062475587812062576,"[(0.9935697874719824, 2), (0.9921618990215153, 2), (0.9976625432729788, 1), (0.02624944759965475, 1), (0.9885648289020424, 1), (0.6317721360488097, 1), (0.9917226068592881, 1), (0.37501204618878536, 1), (0.612477467230865, 1), (0.9988414506575376, 1), (0.9900764005710815, 1), (0.9832638852620884, 1), (0.9919185795373607, 1), (0.9830356970015933, 1), (0.0, 1), (0.31670316359393325, 1), (0.986418772130979, 1), (0.9932633796311023, 1), (0.9988414506575448, 1), (0.9803847177762559, 1), (1.0, 1), (0.9877493794616915, 1), (0.08761201985800138, 1), (0.9871925445241359, 1), (0.9934451765246515, 1), (0.992390598481076, 1), (0.9849540895354343, 1), (0.992772777671427, 1), (0.9870840379289753, 1), (0.31799665356049356, 1), (0.40795386053216653, 1), (0.9855961004544854, 1), (0.992824740897383, 1), (0.9857271258154225, 1), (0.9866419715105933, 1), (0.9903019402560153, 1), (0.9955188726977534, 1), (0.07015678767548139, 1), (0.3539922376941993, 1), (0.9868473924188154, 1), (0.9997482221137859, 1), (0.993274112807449, 1), (0.9913043271815932, 1), (0.9820017550228719, 1), (0.9861858142089492, 1), (0.9928876042355426, 1), (0.3003890447029979, 1), (0.9827396985460225, 1)]",cyclopropanated-methyl-hydroxy-methoxy-meroacid-AMP-1-cyclopropane-ring
mmeroacidcyc2AMP_c,3.634439514677766,0.0625919703521934,"[(0.9935697874719823, 2), (0.9832638852620884, 2), (0.9921618990215153, 2), (0.9976625432729787, 1), (0.028686844493671093, 1), (0.9905627206471659, 1), (0.6317721360488097, 1), (0.9917226068592881, 1), (0.37501204618878525, 1), (0.612477467230865, 1), (0.998841450657537, 1), (0.990680858000854, 1), (0.9919185795373607, 1), (0.9877915148948855, 1), (0.0, 1), (0.31845101945465504, 1), (0.9881123775246302, 1), (0.9953147090453955, 1), (0.9988414506575448, 1), (0.9821989619325744, 1), (0.9999999999999999, 1), (0.9898038423651658, 1), (0.08761201985800116, 1), (0.9871925445241365, 1), (0.9953820082967924, 1), (0.992390598481076, 1), (0.9849540895354343, 1), (0.992772777671427, 1), (0.9870840379289753, 1), (0.31981089771681204, 1), (0.40795386053216653, 1), (0.9870840379289751, 1), (0.992824740897385, 1), (0.9857271258154224, 1), (0.9866688726657131, 1), (0.9903019402560153, 1), (0.9955188726977534, 1), (0.07015678767548117, 1), (0.3557577795132091, 1), (0.9868473924188153, 1), (0.9997482221137858, 1), (0.993274112807449, 1), (0.991304327181593, 1), (0.9820017550228718, 1), (0.9861858142089492, 1), (0.9928876042355425, 1), (0.301967184299333, 1)]",cyclopropanated-methoxy-meroacid-AMP-2-cyclopropane-rings
bccp_c,3.0495287328326883,0.087157971413505,"[(0.13691488150338688, 2), (0.13691488150338693, 2), (0.13691488150338915, 1), (0.13691488150338588, 1), (0.3311752504687798, 1), (0.24140151884633007, 1), (0.7983867584597044, 1), (0.22611986793188682, 1), (0.28845907907928225, 1), (0.13691488150338793, 1), (0.2775603250695259, 1), (0.13691488150338704, 1), (0.22611986793188896, 1), (0.24403446125136463, 1), (0.24402695819506506, 1), (0.24403446125135822, 1), (0.13691488150338676, 1), (0.1369148815033862, 1), (0.22611986793188757, 1), (0.13670549894751916, 1), (0.13691488150338654, 1), (0.6147348376454196, 1), (0.13691488150338604, 1), (0.22611986793188515, 1), (0.22611986793187822, 1), (0.13691488150338577, 1), (0.24403446125136627, 1), (0.2261198679318853, 1), (0.3287037528647355, 1), (0.24403446125136358, 1), (0.1369148815033952, 1), (0.28511480901430925, 1), (0.13691488150338926, 1), (0.1369148815033832, 1), (0.4209133944320199, 1), (0.136914881503388, 1), (0.241401518846332, 1), (0.1369148815033872, 1), (0.2690612772537593, 1), (0.1369148815033857, 1), (0.0, 1), (0.24796511721830675, 1), (0.33117525046878177, 1), (0.33117525046878077, 1), (0.6069439520075794, 1), (0.1369148815033877, 1), (0.22619529682463985, 1), (0.13691488150338582, 1)]",[Acetyl-CoA:carbon-dioxide ligase (ADP-forming)]
gmhep17bp_c,2.9883883448646706,0.0902917394169375,"[(0.11040155204275987, 2), (0.11040155204275964, 1), (0.11040155204277552, 1), (0.016847461185421377, 1), (0.0600817034013682, 1), (0.05881370141879404, 1), (0.6938296215889189, 1), (0.016847461185421794, 1), (0.11040155204275956, 1), (0.016847461185424423, 1), (0.11040155204275978, 1), (0.9020852144850079, 1), (0.06744121252674548, 1), (0.058813701418799144, 1), (0.058817314824944025, 1), (0.0588137014189625, 1), (0.9955830712633315, 1), (0.11040155204275967, 1), (0.06744121252674516, 1), (0.11040155204275992, 1), (0.1104015520427592, 1), (0.2881026574623459, 1), (0.1104015520427799, 1), (0.06744121252674608, 1), (0.06744121252674919, 1), (0.11040155204276009, 1), (0.11040155204275989, 1), (0.058813701418796785, 1), (0.0674412125267461, 1), (0.016847461185421308, 1), (0.05881370141879938, 1), (0.9999999999999999, 1), (0.2738874141815599, 1), (0.1104015520427993, 1), (0.9659117718570015, 1), (0.11040155204275959, 1), (0.11040155204275945, 1), (0.06008170340136687, 1), (0.11040155204275973, 1), (0.04676100621067318, 1), (0.9955830712633283, 1), (0.11040155204275584, 1), (0.05692073196023509, 1), (0.01684746118542119, 1), (0.01684746118542089, 1), (0.1104015520427595, 1), (0.11040155204276, 1), (0.06740488663318582, 1), (0.1104015520427597, 1)]","D-Glycero-D-manno-heptose 1,7-bisphosphate"
dmbzid_c,2.9702366699132843,0.09124622153535927,"[(0.4641623265786229, 2), (0.9838313846584369, 1), (0.32701534017935596, 1), (0.919688486184461, 1), (0.7056161952381061, 1), (0.8392692979311964, 1), (0.823609694051442, 1), (0.8618830604961958, 1), (0.41777822368986056, 1), (0.998393587455464, 1), (0.6516262444306656, 1), (0.9500961520994516, 1), (0.8306855041315115, 1), (0.8236096940514597, 1), (0.8469141316508921, 1), (0.8236096940466766, 1), (0.9315512181097056, 1), (0.982224972113903, 1), (0.3683076689281667, 1), (0.957866335036492, 1), (0.9336197654729245, 1), (0.9196884861843839, 1), (0.6966708198231245, 1), (0.9336430884663963, 1), (0.8468541194730821, 1), (0.8618830604962059, 1), (0.9805744822785338, 1), (0.9644058669369725, 1), (0.7964031285659837, 1), (0.36830766892816635, 1), (0.6594688761794602, 1), (0.7964031285659912, 1), (0.9842757877310019, 1), (0.6462297088242575, 1), (0.9196884861851864, 1), (0.9302419625789897, 1), (0.9120885867915367, 1), (0.9822249721138994, 1), (0.8504559783878543, 1), (0.980574482278536, 1), (0.7626782987899814, 1), (0.9899745297136547, 1), (0.9521433251594342, 1), (0.7971269814869668, 1), (0.6966708198231027, 1), (0.686662640445439, 1), (0.9578663350364881, 1), (0.8306173547577775, 1), (0.9196884861844603, 1)]",5-6-Dimethylbenzimidazole
ptd1ino160_c,2.9416932860318306,0.09277007559266898,"[(0.6634311672054463, 1), (0.5751025082092671, 1), (0.9346521919160092, 1), (0.07512548142474584, 1), (0.4983971782721019, 1), (0.3066810115535838, 1), (0.46599409661491636, 1), (0.11501093485985457, 1), (0.6996221556684048, 1), (0.2755106831415008, 1), (0.6034086051396305, 1), (0.5602535090118406, 1), (0.25429861784026686, 1), (0.3032622424078576, 1), (0.49284400203528916, 1), (0.3032622424080109, 1), (0.8028789509902758, 1), (0.6996221556684434, 1), (0.4659940966149119, 1), (0.836303901352403, 1), (0.5750436545515835, 1), (0.561114917584112, 1), (0.23310529958461906, 1), (0.8064144276479315, 1), (0.46599409661491253, 1), (0.46599409661491453, 1), (0.4756856344990475, 1), (0.47568563449905465, 1), (0.18394030006771286, 1), (0.25429861784027896, 1), (0.2155631710375082, 1), (0.18394030006771941, 1), (0.46005501175807495, 1), (0.1932234484117587, 1), (0.7082469284316145, 1), (0.391020572913062, 1), (0.577064579253987, 1), (0.5756973469923984, 1), (0.26723432342893083, 1), (0.36953046162324865, 1), (0.15657345350322943, 1), (0.8794532837710133, 1), (0.5271481282553745, 1), (0.5223087724614816, 1), (0.20640934907726793, 1), (0.07871325747726354, 1), (0.42267100113393047, 1), (0.4333919469435391, 1), (0.29755905825723705, 1), (0.47568563449902856, 1)]",phosphatidyl-1D-myo-inositol
gluala_c,2.9327393942741886,0.0932539588482818,"[(0.272546394748417, 1), (0.3055085344938896, 1), (0.18752816973015285, 1), (0.170194979640506, 1), (0.30748574617493085, 1), (0.18069082621456123, 1), (0.3377415245747314, 1), (0.19181472900820018, 1), (0.28130536157724684, 1), (0.01736440774060921, 1), (0.18752816973014225, 1), (0.2173078300935184, 1), (0.3377415245747398, 1), (0.6283056380527385, 1), (0.3091467488717268, 1), (0.18069082621455984, 1), (0.30882421073932365, 1), (0.28130536157725594, 1), (0.3377415245747325, 1), (0.142957160256797, 1), (0.14572091537185816, 1), (0.1875281697301558, 1), (0.21210820787768492, 1), (0.30550853449390114, 1), (0.3377415245747356, 1), (0.3377415245747316, 1), (0.18752816973015007, 1), (0.1875281697301518, 1), (0.18069082621456223, 1), (0.33774152457473106, 1), (0.05186776183969699, 1), (0.1806908262145684, 1), (0.305508534494105, 1), (0.35495532683881437, 1), (0.18752816973013325, 1), (0.28130536157724007, 1), (0.7991576981909807, 1), (0.28130536157724706, 1), (0.3074857461749345, 1), (0.1875281697301477, 1), (0.20424883934446025, 1), (0.2367583795133854, 1), (0.15964351808765298, 1), (0.15966628425882085, 1), (0.2121082078778444, 1), (0.1737645519727773, 1), (0.1429571602567939, 1), (0.18752816973015396, 1), (0.3377033480784968, 1), (0.18752816973015385, 1)]",5-L-Glutamyl-L-alanine
decd__tb_c,2.927774965069065,0.09352346362742679,"[(1.0, 44), (0.0, 1), (0.033300913520779796, 1), (0.46380184440400196, 1), (0.033300913520783904, 1), (0.5026272614695522, 1), (0.5181513004511161, 1)]",E-E-E-E-E-E-E-Z-Z-decaprenyl-phosphate
tsul_c,2.913607265270662,0.09429740279775956,"[(0.723522429551006, 35), (0.9999999999999991, 2), (1.0, 1), (0.34513725571166043, 1), (0.15905449100350644, 1), (0.4598767199244843, 1), (0.44634475882879904, 1), (0.9131573695039579, 1), (0.8957171963654551, 1), (0.017562361750280586, 1), (0.44643745754401054, 1), (0.5690132304326605, 1), (0.8713531487756926, 1), (0.891890633328892, 1), (6.106226635438361e-15, 1)]",Thiosulfate
hchol_c,2.7508017319219302,0.1037272306781072,"[(0.7092912327986167, 4), (0.979853083717114, 2), (0.9755817384230814, 1), (0.978823115630767, 1), (0.9523688595429616, 1), (0.9500453411584536, 1), (0.9508843767882802, 1), (0.9849822764762641, 1), (0.0, 1), (0.9727291974084467, 1), (0.8366032957344096, 1), (0.9523688595429605, 1), (0.9347701991795399, 1), (0.984982276476262, 1), (0.9802137105971127, 1), (0.9022926636909171, 1), (0.9766634767904881, 1), (0.97272919740843, 1), (0.9849822764762672, 1), (0.9668843423700109, 1), (0.9789381576756215, 1), (0.952368859543012, 1), (0.9788231156307523, 1), (0.2831463653400749, 1), (0.98498227647626, 1), (0.8743495385749323, 1), (0.9523688595429671, 1), (0.9508843767882755, 1), (0.6867526712512535, 1), (0.9508843767882745, 1), (0.9788231156304281, 1), (0.7718705663588733, 1), (0.9523688595429574, 1), (0.9659779275667361, 1), (0.865329874734678, 1), (0.8947098764404139, 1), (0.9523688595429647, 1), (0.9559991504055803, 1), (0.9872368552062953, 1), (0.9002475206897864, 1), (0.9577055290632993, 1), (0.9399337915020032, 1), (0.9668843423700002, 1), (0.9523688595429634, 1), (0.9849739878258279, 1), (0.952368859542964, 1)]",26-Hydroxycholest-4-en-3-one
