,0
NNAM_min,1.368407471745245
G3PD1ir_max,0.47047330718005675
MCOATA_min,0.46502823419866507
PPCOAC_max,0.45937557044145017
CAT_min,0.43057625555523926
MCOATA_max,0.34169930450384967
NNAM_max,0.3368781387071138
PPCOAC_min,0.3335651390969342
G3PD1ir_min,0.32511850378288437
FAD_10_max,0.312248009265018
FAD_9_max,0.31224800926501795
FAD_14_max,0.3004125234678885
FAD_12_max,0.29507405262677155
FAD_13_max,0.29507405262677155
FAD_11_max,0.2950740526267715
FAD_19_max,0.29276061651599317
FAD_17_max,0.2927606165159931
FAD_18_max,0.2927606165159929
FAD_16_max,0.2927606165159929
FAD_15_max,0.2927606165159929
DHPPDA2_max,0.2736445229485161
CAT_max,0.254232017597525
TMDS_min,0.2502686485468685
DHFR_min,0.2448382618669896
ALAR_max,0.19643445601051238
CYST_II_max,0.18040338787181442
PHETA1_min,0.17509765858181722
TYRTA_min,0.17476523567379387
CYO1b_max,0.17055711335800264
MCD_min,0.15556153796647967
CHORS_min,0.15249839914322794
MCD_max,0.1365889397321163
FAS181_min,0.13458784313014274
FAS161_min,0.13458784313014271
FAS80_L_min,0.1345878431301427
FAS180_min,0.13458784313014258
FAS160_min,0.13458784313014227
NADH2r_max,0.13031097038886896
PREPTHS2_max,0.12032369938190914
PPDIMAT_max,0.12032369938190914
FAS140_min,0.11835774460701806
FAS100_min,0.1183577446070178
FAS120_min,0.1183577446070178
NADH10_max,0.11619032472971584
NADH9_max,0.11411111012535889
CYST_II_min,0.10696381218471734
FAD_8_max,0.10050587383346332
FACOAL161_max,0.09889488050890669
FAS200_max,0.09567928782751745
PYK_min,0.08800953496941623
PYK_max,0.08330689001538813
TYRTA_max,0.061101256736722565
PHETA1_max,0.05955104848210068
FACOALPREPH_max,0.059060784463100015
VPAMTr_max,0.05866926325485683
FACOAL180_max,0.05697128212926351
FACOAL140_max,0.05666248803032946
FACOAL161_min,0.05066313920539341
PREPTHS_max,0.050145183742044054
FACOAL200_max,0.05014518374204405
PDIMAT_max,0.05014518374204398
FAS80_L_max,0.04508496659574489
CYO1b_min,0.044662970844303373
KGD2_max,0.041085421610523185
KGD2_min,0.03932134349539058
FAS100_max,0.035092379639299565
FAS140_max,0.035092379636286426
FAS120_max,0.03509237962506688
FAS160_max,0.03361381335586072
CYSM_II_min,0.029094099142036242
DHFS_min,0.020641159573790195
MYC1M1_min,0.02063730908754522
APRAUR_min,0.02063525087473682
FAS260_min,0.020635176449459496
FAS240_L_min,0.02063517644945932
ALAR_min,0.020635171084249494
MYCSacp56_min,0.020635113049147648
MYCSacp58_min,0.020635113049147648
MYCSacp50_min,0.020635113049147443
DCPT_min,0.02063501983898814
DCPE_min,0.02063501983898814
ACCC_min,0.020635010398839228
ACChex_min,0.02063501039883921
FAS200_min,0.02063490733012718
MSHS_min,0.020634374471992734
CIGAMS_min,0.020634374471992557
NAGINSP_min,0.020634374471992477
MYC1M2_min,0.020634102252317783
HEMEOS_min,0.020632089786826138
TDPDRR_min,0.020621874342561915
EMB_min,0.020621874342561915
NADH5_min,0.012407113146616782
NADH5_max,0.0064788347677342106
FAS181_max,0.006454820079269437
FBPA_max,0.002449161334938527
MYCSacp56_max,0.002449161334938527
FAD_3_min,2.1813487766337119e-16
FAD_3_max,1.7151306489619016e-16
NAGINSP_max,1.321029957068905e-16
PREPTHS_min,1.0204639204487584e-16
FAD_2_max,7.250508523360281e-17
FAD_2_min,3.29696470956471e-17
ACCC_max,2.2212850073936968e-17
FAS260_max,2.0715988514480195e-17
TMDS_max,1.6142102063019483e-17
FAD_24_max,7.593326911373457e-18
PDIMAT_min,5.0130585332998266e-18
MYCSacp50_max,4.319192721800824e-18
FAD_4_min,2.1459657604344917e-18
FAD_27_max,6.184332828864309e-19
ECHA192_min,6.021149853989236e-19
FAD_23_max,5.115862646963692e-19
ECHA192_max,4.224548672884538e-19
FAD_27_min,2.18580006780617e-19
FAD_22_min,1.8080118932872457e-20
FAD_22_max,4.5323743213602355e-21
FAD_5_min,4.235991428209872e-21
FAS240_L_max,2.310993561420362e-21
DHFS_max,1.2249408521768432e-34
FBPA_min,-0.0
HEMEOS_max,-0.0
GXRA_min,-0.0
CYSK2_I_max,-0.0
DCPE_max,-0.0
DCPT_max,-0.0
MAN1PT2_max,-0.0
FAD_6_max,-0.0
MYCSacp58_max,-0.0
ASNt2r_max,-0.0
FAD_6_min,-0.0
APRAUR_max,-0.0
MYC1M2_max,-0.0
FACOAL200_min,-0.0
PPDIMAT_min,-0.0
FAD_20_max,-0.0
PREPTHS2_min,-0.0
FAD_20_min,-0.0
TDPDRR_max,-0.0
EMB_max,-0.0
FAD_26_max,-0.0
FAD_26_min,-0.0
MYC1M1_max,-0.0
ACChex_max,-0.0
CYSK2_I_min,-0.0
ALAD_L_min,-2.7761905485919257e-21
FAD_5_max,-9.89555419569523e-21
FAD_4_max,-1.2640346645944014e-18
FAD_23_min,-1.4268880389596829e-18
FAD_21_max,-2.207398240192892e-18
ECHA191_max,-4.746261933774229e-18
FAD_25_min,-7.746587322454201e-18
NADH9_min,-8.275795551839061e-18
FAD_25_max,-9.640261009206903e-18
FAD_1_min,-1.1122413685068345e-17
FAD_21_min,-1.1258013857145221e-17
NADH10_min,-1.1610060755939437e-17
CHSTEROLt_min,-1.3649218085333929e-17
CIGAMS_max,-1.579140465309929e-17
ECHA191_min,-2.1598907142842515e-17
ASPt2r_max,-2.3587318155251396e-17
FAD_1_max,-2.672944122813951e-17
FAD_24_min,-3.683804456332729e-17
