,F_value,pvalue,value_counts,name
pentdcoa_c,13.704774413082893,0.002130361639212026,"[(0.7916436509112398, 1), (0.7094570528094055, 1), (0.6215489046397811, 1), (0.9348248355217472, 1), (0.6465671632888985, 1), (0.6909699634660319, 1), (0.8276930890323967, 1), (0.4464457315896432, 1), (0.5761944464306366, 1), (0.33270471885802566, 1), (0.5694596967744668, 1), (0.6909699634688248, 1), (0.4666372519414811, 1), (0.4427339977299103, 1), (0.8276930890323858, 1), (0.9928667459508924, 1), (0.7916436509137106, 1)]",pentadecanoyl-CoA
lald__L_c,12.436642725035675,0.0030525408719581162,"[(0.8481406237616412, 6), (0.39689360386017225, 1), (0.3968936038601735, 1), (0.9126044837432932, 1), (0.9824013827468705, 1), (0.41375167045011335, 1), (0.4219652072022391, 1), (0.42196520720202285, 1), (0.41375167045010514, 1), (0.39689360386017136, 1), (0.4137516704501116, 1), (0.9829888627818635, 1)]",L-Lactaldehyde
hexccoa_c,11.736664150483525,0.003753073384637873,"[(0.8644296986219469, 1), (0.5563390538821688, 1), (0.6208667423742457, 1), (0.5978528062916376, 1), (0.8644296986254235, 1), (0.5282774835051949, 1), (0.6432689169613542, 1), (0.5260065617463933, 1), (0.37686653729947306, 1), (0.3730196575640239, 1), (0.35587330964149966, 1), (0.5282774835122016, 1), (0.5542701447936954, 1), (0.5264802525591391, 1), (0.6432689169613418, 1), (0.9748754383457516, 1), (0.8644296986254885, 1)]",Hexacosanoyl-CoA-n-C260CoA
chexccoa_c,11.598338920508453,0.003912296798785353,"[(0.8703902714218074, 1), (0.5601752240616023, 1), (0.6251478556016529, 1), (0.5936292171788239, 1), (0.8703902714253079, 1), (0.5319201584437367, 1), (0.6408091199485789, 1), (0.5296335778120052, 1), (0.3786808075698622, 1), (0.37480740212996944, 1), (0.35832719197921636, 1), (0.531920158450397, 1), (0.5580920490550815, 1), (0.530110534903841, 1), (0.6408091199485663, 1), (0.9748760773486775, 1), (0.870390271425373, 1)]",carboxy-hexacosanoyl-CoA
phdcacoa_c,9.469384105620458,0.007665391119857394,"[(0.9780888793868343, 1), (0.5182074395438547, 1), (0.7154668513190947, 1), (0.538612718207431, 1), (0.9780888793895967, 1), (0.4931306896002785, 1), (0.5790523397768267, 1), (0.37825983351605963, 1), (0.38885870690165425, 1), (0.3888587069018632, 1), (0.35477583048086925, 1), (0.4931306896104555, 1), (0.5182074395442045, 1), (0.4931306896080323, 1), (0.5790523397768157, 1), (0.9515292689408614, 1), (0.9780888793896084, 1)]",phenol-palmitic-coenzyme-A
malcoa_c,8.885490651420989,0.009329321653209273,"[(0.9701681807417616, 1), (0.9067501238150829, 1), (0.6975034702620655, 1), (0.8256806831646943, 1), (0.9701681807456504, 1), (0.8771740058682687, 1), (0.872142808489889, 1), (0.8751095089723913, 1), (0.6833494509062802, 1), (0.6833494509077765, 1), (0.6823320310289154, 1), (0.8771740058691719, 1), (0.9067501238156171, 1), (0.8771740058698279, 1), (0.8721428084898849, 1), (0.9455357593808734, 1), (0.9701681807457248, 1)]",Malonyl-CoA
cholc8coa_c,8.600784488278842,0.010288554017646967,"[(0.9846432983315986, 5), (0.5301617927834943, 1), (0.9885766144947103, 1), (0.4886613704341717, 1), (0.530161792785816, 1), (0.559946174372077, 1), (0.6252607584796059, 1), (0.98857661449471, 1), (0.9885766144947102, 1), (0.5599461743728722, 1), (0.46149489330828897, 1), (0.6120757939286047, 1), (0.5599461743723924, 1)]",CoA-cholest-4-en-3-one C8 side chain
ncam_c,8.342335280371294,0.01125835885832833,"[(1.0, 8), (0.4851711281771496, 1), (0.3693314235704497, 1), (0.23825485058229323, 1), (0.9584897683130671, 1), (0.831578366779841, 1), (0.8426500637063639, 1), (0.8340681925023328, 1), (0.750614385726465, 1), (0.8315783667784353, 1)]",Nicotinamide
glucys_c,7.72287512970673,0.014041730655291036,"[(0.9681718944011897, 1), (0.9730294871216894, 1), (0.20832158040579707, 1), (1.0, 1), (0.9681718944011911, 1), (0.9681718943954886, 1), (0.9784289617772103, 1), (0.9004608266560399, 1), (0.028710894315752022, 1), (0.2790461989274027, 1), (0.26247928641334783, 1), (0.9681718944011889, 1), (0.7226941825096268, 1), (0.9681718944003067, 1), (0.9784289617772182, 1), (0.9779496683019044, 1), (0.9681718944011977, 1)]",gamma-L-Glutamyl-L-cysteine
cgly_c,6.825230093976827,0.019604258814623843,"[(0.9209180804952275, 1), (0.9310479534044556, 1), (0.18257089465182508, 1), (0.9999999999999977, 1), (0.9209180804952289, 1), (0.9209180804908924, 1), (0.987123871596454, 1), (0.8481842127304529, 1), (0.20168434084555797, 1), (0.20168434084650966, 1), (0.19016829933368928, 1), (0.9209180804952268, 1), (0.9310479534044482, 1), (0.9209180804948301, 1), (0.9456927145599688, 1), (0.9765135270304198, 1), (0.9209180804952506, 1)]",Cys-Gly
