,F_value,pvalue,value_counts,name
meoh_e,27.0,1.7985245242361115e-05,"[(0.10568191598813556, 29)]",Methanol
octa_c,11.562300730845342,0.0021085290290108814,"[(0.6509666931966291, 1), (0.7436253860519253, 1), (0.8909371569989644, 1), (0.10246621737457628, 1), (0.6834846794144065, 1), (0.738808394931915, 1), (0.8440712020933109, 1), (0.10246621737472239, 1), (0.7895742664524844, 1), (0.878451158557846, 1), (0.8909371569989487, 1), (0.9898910625474182, 1), (0.1024662173745865, 1), (0.8909371569989419, 1), (0.6077660414539301, 1), (0.844071202093288, 1), (0.5153710000464441, 1), (0.10246621737459827, 1), (0.056410414591128055, 1), (0.056410414590980396, 1), (0.10246621737456807, 1), (0.7510843607735618, 1), (0.47835945094370413, 1), (0.9571710446259464, 1), (0.10246621737460948, 1), (0.05641041459114138, 1), (0.10246621737462813, 1), (0.05641041459112217, 1), (0.1024662173745774, 1)]",octanoate-n-C80
dca_c,10.828146896052697,0.002786025802725926,"[(0.6577922820015267, 1), (0.7183591597248179, 1), (0.9333690394843573, 1), (0.11055048686529645, 1), (0.6785516134606566, 1), (0.6731283713877605, 1), (0.8469527521439344, 1), (0.11055048686545055, 1), (0.7781294930038242, 1), (0.8706322465121684, 1), (0.9333690394843321, 1), (0.9876518055957999, 1), (0.11055048686530844, 1), (0.9333690394843246, 1), (0.7664215148642151, 1), (0.8469527521439032, 1), (0.64827769816973, 1), (0.1105504868653201, 1), (0.058575847201432496, 1), (0.05857584720127906, 1), (0.11055048686528524, 1), (0.7262573307317517, 1), (0.6062588960524444, 1), (0.9444087061766211, 1), (0.11055048686533464, 1), (0.05857584720144471, 1), (0.11055048686535152, 1), (0.05857584720142628, 1), (0.11055048686529889, 1)]",Decanoate-n-C100
phdca_c,9.601055842652617,0.004506255490403813,"[(0.4170416625647701, 1), (0.48484833835174146, 1), (0.3195722492548426, 1), (0.7843501654794494, 1), (0.5818822246342269, 1), (0.3157743781823192, 1), (0.2771696904904919, 1), (0.784350165479374, 1), (0.41613359046726106, 1), (0.23614925947428286, 1), (0.31957224925532846, 1), (0.1739171062128519, 1), (0.9370850609183526, 1), (0.5493273962672547, 1), (0.9370850609183611, 1), (0.2771696904904875, 1), (0.9425849314784742, 1), (0.7843501654794369, 1), (0.7867027372753627, 1), (0.786702737275179, 1), (0.9370850609183572, 1), (0.4793484677915502, 1), (0.7965018060764575, 1), (0.1721758007525107, 1), (0.7843501654794419, 1), (0.967014002425582, 1), (0.7843501654794236, 1), (0.7867027372753644, 1), (0.9370850609183549, 1)]",phenol-palmitic-acid
phdca_e,9.601055842652414,0.004506255490404178,"[(0.41704166256477004, 1), (0.48484833835174135, 1), (0.31957224925484257, 1), (0.7843501654794491, 1), (0.5818822246342269, 1), (0.3157743781823191, 1), (0.27716969049049184, 1), (0.7843501654794408, 1), (0.41613359046726106, 1), (0.23614925947428284, 1), (0.3195722492552756, 1), (0.1739171062128519, 1), (0.9370850609183524, 1), (0.5493273962672547, 1), (0.9370850609183611, 1), (0.27716969049048745, 1), (0.9425849314784741, 1), (0.784350165479437, 1), (0.7867027372753627, 1), (0.7867027372751789, 1), (0.937085060918357, 1), (0.47934846779154916, 1), (0.7965018060764574, 1), (0.17217580075251068, 1), (0.7843501654794419, 1), (0.9670140024254553, 1), (0.7843501654794235, 1), (0.7867027372753639, 1), (0.9370850609183549, 1)]",phenol-palmitic-acid
ddca_c,8.610895845671054,0.006743371091982718,"[(0.5621883307399138, 1), (0.5632207114455725, 1), (0.8484853111692182, 1), (0.10523880437700772, 1), (0.5613651177176149, 1), (0.46263130008020314, 1), (0.7146977092643623, 1), (0.10523880437714983, 1), (0.6347720579100371, 1), (0.7179639509096852, 1), (0.848485311169182, 1), (0.8247442137732597, 1), (0.10523880437702005, 1), (0.8484853111691715, 1), (0.8886886028386423, 1), (0.714697709264322, 1), (0.7496940510129514, 1), (0.10523880437703015, 1), (0.05247743122382187, 1), (0.052477431223684534, 1), (0.10523880437699507, 1), (0.5705248466984981, 1), (0.7066947329885201, 1), (0.7721661354344913, 1), (0.10523880437704713, 1), (0.052477431223832416, 1), (0.10523880437705924, 1), (0.052477431223815985, 1), (0.10523880437701172, 1)]",Dodecanoate-n-C120
pdima_c,8.29538405041023,0.00769119384373289,"[(1.3369947510222246e-14, 14), (0.268024994422604, 1), (0.4064895343488126, 1), (0.5969187173088883, 1), (0.5969187173089219, 1), (0.5969187173088806, 1), (0.5969187173088708, 1), (0.7202026944051795, 1), (0.7202026944077253, 1), (0.5969187173089584, 1), (0.4029244153280683, 1), (0.5969187173088717, 1), (0.7202026944051623, 1), (0.5969187173088862, 1), (0.7202026944051775, 1), (0.5969187173088836, 1)]",phthiocerol-dimycocerosate-A-Mtb
hexc_c,7.644688730065471,0.010138426508420118,"[(0.6774306096402397, 2), (0.30604892336650724, 1), (0.10499774069889728, 1), (0.30044165297653924, 1), (0.23333827787144562, 1), (0.04844867703792419, 1), (0.1601113759619331, 1), (0.6774306096401717, 1), (0.13431065291716343, 1), (0.11676405827593374, 1), (0.30044165297651043, 1), (0.040975968141496705, 1), (0.6774306096402383, 1), (0.30044165297650066, 1), (0.902143256515262, 1), (0.16011137596191294, 1), (0.9435333613641166, 1), (0.6774306096402314, 1), (0.6824758880384896, 1), (0.6824758880385631, 1), (0.6774306096402352, 1), (0.10192716953278474, 1), (0.9465000175306219, 1), (0.04648851040800259, 1), (0.6774306096402347, 1), (0.682475888038484, 1), (0.6774306096402181, 1), (0.6824758880384926, 1)]",hexacosanoate-n-C260
1hdecg3p_c,7.204793039624308,0.012269811043499295,"[(0.5535467645682076, 1), (0.7897282769309227, 1), (0.9999999999997796, 1), (0.20286468263575363, 1), (0.9791745673439961, 1), (0.644647923422131, 1), (0.9632775180159568, 1), (0.8111567616159576, 1), (0.7454883415354066, 1), (0.548708464348629, 1), (1.0, 1), (0.49591541784613496, 1), (0.20286468263576968, 1), (0.9999999999999893, 1), (0.8745453578295863, 1), (0.9812946391857075, 1), (0.8749124832838435, 1), (0.2028646826357603, 1), (0.07953760621428496, 1), (0.7956699116661463, 1), (0.20286468263574464, 1), (0.7893611514765866, 1), (0.9188708293396928, 1), (0.4630889138231264, 1), (0.20286468263579382, 1), (0.07953760621430428, 1), (0.20286468263578838, 1), (0.07953760621426958, 1), (0.11365862480143885, 1)]",1-hexadecanoyl-sn-glycerol-3-phosphate
prepphth_c,7.197127801754912,0.012311047078605237,"[(0.698898736063182, 1), (0.7635600718983249, 1), (0.0977983362244722, 1), (0.9025628654091123, 1), (0.8206770876442422, 1), (0.3285376576076433, 1), (0.6869646243151983, 1), (0.9025628654090811, 1), (0.23795145428681969, 1), (0.3675241275867517, 1), (0.0977983362243679, 1), (0.4055561092045713, 1), (0.95854603071769, 1), (0.8057613546283576, 1), (0.9585460307176941, 1), (0.2206979623657228, 1), (0.9610352442342036, 1), (0.9025628654091056, 1), (0.9187957603132599, 1), (0.9187957603135979, 1), (0.9585460307176924, 1), (0.761070858381786, 1), (0.908020562798409, 1), (0.36172403634025607, 1), (0.9025628654091062, 1), (0.9848867170320617, 1), (0.9025628654091012, 1), (0.9187957603132608, 1), (0.9585460307176916, 1)]",phenolic-phthiocerol-precursor
