,0
NNAM_min,0.7781549443707125
CAT_min,0.3690429042625861
MCOATA_min,0.17238818983450072
G3PD1ir_max,0.15825827880394241
DHFS_min,0.24210074151585406
MYC1M1_min,0.24209670350648588
APRAUR_min,0.24209660926868676
FAS240_L_min,0.2420965183944841
FAS260_min,0.24209651839448398
MYCSacp50_min,0.24737796083111568
MYCSacp58_min,0.24209651289136647
MYCSacp56_min,0.24209674278913196
DCPE_min,0.24209650480076766
DCPT_min,0.24209650480076766
ACChex_min,0.24209644111139483
ACCC_min,0.24209644111139483
FAS200_min,0.19102571042129002
MSHS_min,0.2420964487832105
NAGINSP_min,0.24209644878321035
CIGAMS_min,0.24209644878321035
MYC1M2_min,0.24567817445394424
HEMEOS_min,0.24209810224773898
TDPDRR_min,0.24209131020700286
EMB_min,0.24209131020700286
KGD2_max,0.27143119702285334
MCOATA_max,0.1836210726022943
KGD2_min,0.26382734685951215
NNAM_max,0.7160682457866736
G3PD1ir_min,0.10839671022230336
CYO1b_max,0.15814909492921753
FAS180_min,0.1365466241702208
FAS160_min,0.09592553637915487
FAS181_min,0.09592553637915474
FAS80_L_min,0.09592553637915474
FAS161_min,0.09592553637915474
DHPPDA2_max,0.27924339876342985
CAT_max,0.30718185339176984
FAD_10_max,0.12871099916386114
FAD_9_max,0.12871099916386114
NARK_min,0.0918788975528069
FAS140_min,0.09317195044873043
FAS120_min,0.0931719504487304
FAS100_min,0.0931719504487304
DHFR_min,0.09836032670317404
TMDS_min,0.10171617113955467
FAD_19_max,0.11690056500575349
FAD_15_max,0.11690056500575349
FAD_16_max,0.11690056500303173
FAD_18_max,0.11690056500575349
FAD_17_max,0.11690056500575335
ALAR_max,0.09300673231183107
FAD_11_max,0.11510748477578045
FAD_13_max,0.11510748477578045
FAD_12_max,0.11510748477578045
FACOALPREPH_max,0.0788956316613529
FAD_14_max,0.11254175475955597
FACOAL180_max,0.07631445041089557
FACOAL140_max,0.07539784368014513
CYST_II_max,0.22481543509782864
PPCOAC_max,0.1404456562074627
FACOAL161_min,0.09777478049615992
CYO1b_min,0.05639671418611354
MCD_max,0.10005109708872983
CHORS_min,0.09306704762231435
PREPTHS2_max,0.05144969413895799
PPDIMAT_max,0.05144969413895799
FACOAL161_max,0.10825059544831617
FAD_8_max,0.09705094537781475
FACOAL180_min,0.06579009339147085
FAS200_max,0.0445795713318845
PPCOAC_min,0.057620444397770476
FAS100_max,0.04291275717814208
FAS140_max,0.04291275717734348
FAS120_max,0.04291275717438585
PYK_min,0.10734297335125989
PDIMAT_max,0.027887556788551298
FACOAL200_max,0.027887556788551298
PREPTHS_max,0.027887556788551263
NARK_max,0.054694467848841924
FAS80_L_max,0.03802654604021498
CYST_II_min,0.19465337801300758
FAS160_max,0.03675457535298762
PYK_max,0.09695666587596286
MAN1PT2_min,0.07011771840788263
FACOALPREPH_min,0.04079706413139008
FAS181_max,0.026449607753711028
FAS180_max,0.025083857956148772
ADNCYC_min,0.0380460076100096
MYCSacp50_max,1.4584239045673513e-17
PREPTHS_min,0.08794668168564179
NAGINSP_max,5.778077398672519e-18
ECHA191_max,1.0638563379698804e-26
ECHA191_min,6.791616610568941e-28
FAD_2_min,8.217783518651964e-31
FAD_4_min,0.0
FAD_5_max,0.0
FAD_5_min,0.0
FAD_6_max,0.0
GXRA_min,0.006863496012171317
MYC1M2_max,0.0
FAS240_L_max,0.0
MYC1M1_max,0.0
FBPA_min,0.0
HEMEOS_max,0.0
FAD_6_min,0.0
ACCC_max,0.0
NADH10_min,0.00983533467353029
FACOAL200_min,0.08794668168564176
ECHA192_max,0.0
PDIMAT_min,0.08794668168564176
DHFS_max,0.0
DCPT_max,0.0
DCPE_max,0.0
CYSK2_I_min,0.0
CYSK2_I_max,0.0
CIGAMS_max,0.0
ECHA192_min,0.0
CHSTEROLt_min,0.0
PPDIMAT_min,0.043460571875453914
PREPTHS2_min,0.043460571875453914
ASNt2r_max,0.0
APRAUR_max,0.0
ALAD_L_min,0.006863496012171317
TDPDRR_max,0.0
ACChex_max,0.0
TMDS_max,0.0003135950263707513
CHSTEROLt_max,0.0
EMB_max,0.0
MAN1PT2_max,0.0
FAD_23_max,0.0
FAD_26_min,0.0
FAD_26_max,0.0
FAD_25_min,0.0
FAD_25_max,0.0
FAD_24_min,0.0
FAD_24_max,0.0
FAD_23_min,0.0
FAD_4_max,0.0
FAD_22_min,0.0
FAD_22_max,0.0
FAD_21_min,0.0
FAD_21_max,0.0
FAD_20_min,0.0
FAD_20_max,0.0
FAD_1_min,0.0
FAD_1_max,0.0
MYCSacp58_max,0.0
FAD_27_max,0.0
FAD_27_min,0.0
FAD_2_max,1.3614479997084211e-24
NADH9_min,0.009830756698435349
FAD_3_min,5.385334174578932e-17
FAD_3_max,1.139379061814518e-16
MSHS_max,6.313854878544069e-17
ASPt2r_max,1.6188637949800606e-16
FAD_7_max,2.3936159241476655e-16
FAS260_max,1.468270270777735e-16
FAD_7_min,2.8967425386382243e-16
MYCSacp56_max,0.07440017025967083
FBPA_max,0.019950474502722398
VPAMTr_min,0.024418648898561296
MAN1PT_min,0.022618717555818624
MAN1PT_max,0.022618717555818624
FAS161_max,0.018987315890391168
FACOAL140_min,0.07064980458453936
MCD_min,0.07457392309664188
CHORS_max,0.1144357318940192
ALAR_min,0.04245498773474176
PGCD_min,0.05073844116510061
ACCOAC_max,0.060811019153535095
TYRTA_max,0.05485528589864033
PHETA1_max,0.06110672368289698
VPAMTr_max,0.07417127956091962
ASPt2r_min,0.06439136901148611
ASNt2r_min,0.0641620770209267
