,ADNCYC_min,ADNCYC_max,OXCDC_max,OXCDC_min,NARK_min,ASPt2r_min,PYK_max,PYK_min,FACOAL140_min,ACCOAC_min,Kabc_min,Kabc_max,ALAALAr_min,FACOALPREPH_min,PGCD_min,FACOAL180_min,PGCD_max,CYSM_II_min,NARK_max,PREPTHS_min,PDIMAT_min,FACOAL200_min,ASNt2r_min,CYSM_II_max,FACOAL161_max,ALAALAr_max,MAN1PT_min,MAN1PT_max,MAN1PT2_min,FAD_8_max,ALAR_min,CHORS_min,FACOAL161_min,DHFR_max,TMDS_max,KGD2_min,PREPTHS_max,PDIMAT_max,FACOAL200_max,NADH5_min,ASPt2r_max,ASNt2r_max,NNAM_min,FACOAL180_max,FACOAL140_max,FACOALPREPH_max,ACCOAC_max,FAS200_min,FAS180_min,TMDS_min,CYST_II_max,CAT_min,MCOATA_max,CHORS_max,FAD_10_max,FAD_9_max,G3PD1ir_min,FAD_18_max,FAD_15_max,FAD_17_max,FAD_16_max,FAD_19_max,FAD_11_max,FAD_12_max,FAD_13_max,G3PD1ir_max,CYST_II_min,FAD_14_max,MCD_max,ALAD_L_max,VPAMTr_min,PPCOAC_min,MCOATA_min,PPDIMAT_min,PREPTHS2_min,FAD_3_min,MYCSacp50_max,FAS160_max,FAS260_min,MYCSacp50_min,FAS260_max,MSHS_max,FAD_7_min,FAS240_L_min,MYC1M2_max,MYC1M1_min,MYC1M1_max,DCPT_min,DHFS_max,DHFS_min,MAN1PT2_max,ECHA191_max,MYC1M2_min,HEMEOS_max,GXRA_min,ECHA192_max,FBPA_min,FBPA_max,FAS80_L_min,FAS240_L_max,FAS80_L_max,KGD2_max,HEMEOS_min,ECHA191_min,MYCSacp56_max,ACCC_min,ACChex_max,TDPDRR_min,TDPDRR_max,ACChex_min,ALAD_L_min,APRAUR_max,APRAUR_min,PREPTHS2_max,PPDIMAT_max,CHSTEROLt_max,CHSTEROLt_min,CIGAMS_max,CIGAMS_min,CYO1b_min,CYSK2_I_max,CYSK2_I_min,DCPE_max,DCPE_min,NAGINSP_min,NAGINSP_max,DCPT_max,MYCSacp58_min,MYCSacp58_max,MYCSacp56_min,ECHA192_min,FAS200_max,ACCC_max,FAS181_max,FAD_22_min,FAD_6_max,FAD_5_min,FAD_5_max,FAD_4_min,FAD_4_max,FAD_23_max,FAD_2_min,FAD_2_max,FAD_27_min,FAD_27_max,FAD_26_min,FAS181_min,FAD_23_min,FAD_24_max,FAD_24_min,FAD_26_max,FAD_25_max,FAD_22_max,FAD_6_min,FAD_21_max,EMB_max,FAS161_min,FAS161_max,FAS120_max,FAD_21_min,FAD_1_max,FAD_1_min,FAS100_max,FAD_25_min,EMB_min,FAD_20_min,FAD_20_max,FAS140_max,MSHS_min,FAD_7_max,FAS180_max,FAD_3_max,FAS160_min,NADH2r_max,NADH9_max,DHFR_min,PHETA1_min,TYRTA_min,ALAR_max,PHETA1_max,TYRTA_max,NADH10_max,MCD_min,DHPPDA2_max,GXRA_max,NADH2r_min,NADH9_min,NADH10_min,CYO1b_max,VPAMTr_max,NADH5_max,FAS140_min,FAS120_min,FAS100_min,FAD_8_min,FAD_11_min,FAD_16_min,FAD_12_min,FAD_13_min,FAD_18_min,FAD_15_min,FAD_9_min,FAD_10_min,FAD_19_min,FAD_14_min,FAD_17_min,DHPPDA_max,DHPPDA_min,DHPPDA2_min,CAT_max,PPCOAC_max,NNAM_max
sampled_map_1,0.6104266511840786,0.590185742757883,0.48628574006716097,0.552821800904629,0.2953079438107202,0.03612564397471112,0.1027418753528639,0.15311896564965372,0.006159970553435793,0.6942338192968961,0.0,0.04913148747290819,0.12470566222545983,0.006159970553435793,0.0,0.006159970553435793,0.156947737777553,0.1551533008293362,0.1483616898493127,0.2095387411277933,0.20953874112779322,0.20953874112779322,0.03567099570808219,0.15403414398302034,0.3173065670163291,0.3046612881531996,0.08432305307292066,0.08432305307292066,0.08432305307292066,0.3110850071567781,0.0,0.025782522195903324,0.006159970553435793,1.66020355138827e-16,0.0,0.15078068210993492,0.08126533670969392,0.08126533670969388,0.08126533670969388,0.03540395203811047,2.0903073745084769e-16,0.0,0.0847301747916472,0.13754706677991688,0.12001640252471162,0.14622646449782742,0.5130634910211954,0.28850159824771204,0.28850159824771254,0.060354564776621086,0.08507120470920912,0.3523599032503768,0.16860993186069512,0.05274744250684823,0.2942222901477684,0.2942222901477684,0.0,0.29273234577597657,0.29273234577597657,0.2927323457759767,0.2927323457496758,0.29273234577597657,0.2896447345712125,0.2896447345712125,0.2896447345712125,0.0,0.08359913944343367,0.29046091080019937,0.3706164258911836,0.032142729933424506,0.052271153456983716,0.3072795252852442,0.43560875616523037,0.4356087545270373,0.4356087545270373,5.835037006945141e-17,4.3154026635158815e-17,1.4326739571258426e-17,9.144584996827441e-17,0.019228244560688782,1.6549084612111899e-16,1.254063499411141e-16,2.0160470247310076e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02974737219442093,0.0,0.0,0.0,0.0,0.015336221417706792,0.0,0.0,0.0,0.15841227579961373,0.0,0.0,0.031087611793196832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004833453402443803,0.004833453402443803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07349600720245861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0263521419373547e-17,5.0528127898679957e-17,3.344323059465894e-17,6.637331271480691e-17,2.9263967897088423e-16,4.003659382732897e-17,0.0,0.1706826041067848,0.007714688519865085,0.016667607511577608,0.01663020965712147,0.028202189896499644,0.02334331853741908,0.02334331853741864,0.08188311981941716,0.4827332989354752,0.07081075735160101,0.09043359868598284,0.013690753783220154,0.007607892429188665,0.007628483490700946,0.0,0.02334331853741908,0.09579953076092229,0.07992497922298215,0.07992497922298215,0.07992497922298215,0.07992497922298222,0.07992497922298183,0.07992497922298183,0.07992497922298183,0.07992497922298183,0.07992497922298183,0.07992497922298183,0.07992497922298183,0.07992497922298183,0.07992497922298183,0.07992497922298183,0.07992497922298217,0.07081075735160101,0.07081075735160096,0.07081075735160096,0.008885149092242948,0.0010598135788220109,0.3246943293519611
sampled_map_2,0.4632384640632499,0.07437632614332856,0.3713581822454981,0.33619933394167306,0.19831494660994123,0.00994222071181833,0.07734100440805106,0.1517097465808216,0.13133040425251422,0.7192038762152827,0.3079282263264776,0.30572684023985225,0.02892491474164979,0.1877167264610661,0.16259151966838525,0.18013166558218874,0.0,0.037663241298432425,0.20275828353293784,1.0961894498401933e-17,0.0,0.0,0.009942220711818483,0.01767215165230939,0.02489697464853055,0.19941089266364137,0.020718726324417534,0.020718726324417534,0.020718726324417534,0.02126706202340018,0.007336287612401747,0.22335108067504808,0.24680673052085764,0.03995399609524843,0.0,0.15993475163139434,0.08817115099439159,0.08817115099439163,0.08817115099439163,0.009942220711818474,5.810576635772523e-17,0.0,0.7489820833738218,0.12024773925427037,0.12018019396048585,0.1201229984281328,0.6472482602158333,0.007335751731580623,5.1024030607551743e-17,0.2604873932730449,0.017909479571169666,0.041562175366343025,0.12847479299567485,0.14964867378353103,0.07463218253863142,0.07463218253863142,0.007336080118741018,0.0784903796941288,0.07849037969412882,0.07849037969412877,0.0784903796941288,0.0784903796941288,0.07346893929068375,0.07346893929068375,0.07346893929068375,0.42006357408070344,0.020718726324417517,0.056849050266362264,0.3974312527573997,0.15864744742654177,0.10703011878871652,0.19883846767133093,0.007336183200737297,0.0,0.0,1.1162293443995396e-16,4.7391947855607395e-17,0.38546030077916094,0.007336298513133971,0.0073361696999390946,3.386288928617556e-17,2.9007296735296945e-17,4.557425471247622e-17,0.0073362985131340515,0.0,0.007340631487489001,0.0,0.007335980320769108,0.0,0.007348454689307325,0.0,0.0,0.007334116019677953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372354000163735,0.16912039673364215,0.007330027205255159,0.0,0.0,0.007335961140804583,0.0,0.007309272039006759,0.0,0.007335961140804583,0.0,0.0,0.007336449726234729,0.22483150190089296,0.22483150190089296,0.0,0.0,0.0,0.007334669100332909,0.09872588460794546,0.0,0.0,0.0,0.007335980320769108,0.007334669100332909,0.0,0.0,0.007336169699939178,0.0,0.007336169699939178,0.0,0.2510221187569338,0.0,0.3996670839713259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6008190220129456,0.40826430247492806,0.0,0.0,0.0,0.40826430245473944,0.0,0.007309272039006759,0.0,0.0,0.40826430245473944,0.00733466910033291,5.311720663263783e-17,0.3926718527074099,8.212955730449168e-17,6.590689184780572e-18,0.0034151292361694224,0.009076717396349888,0.25617402945482953,0.15019411885992914,0.15006818895160765,0.014538722224206714,0.06256164781723896,0.07159050949471937,0.009727887313844417,0.1225107472088088,0.3124923600958905,0.13238081108082564,0.13599808465446378,3.6884248208315736e-17,0.0,0.09319823607714127,0.05671799035872122,0.22194046419473767,0.0,0.0,0.0,0.1702219711650337,0.17022197116503365,0.17022197116503365,0.17022197116503365,0.17022197116503365,0.17022197116503365,0.17022197116503365,0.17022197116503368,0.17022197116503368,0.17022197116503365,0.17022197116503368,0.1702219711650338,0.3132900951410033,0.3124923600958901,0.31329009514100353,0.41923741303110984,0.1581191375917053,0.1176147498961372
sampled_map_4,0.7256383054561341,0.7039327284515725,0.6785752471875731,0.5465920635324852,0.4956403345491487,0.4157097898000592,0.4066027684541279,0.3948665372142097,0.38017512508786677,0.36038629799802246,0.29261820991621246,0.2834457692011144,0.28093377319699564,0.2713086729386809,0.2596326791570438,0.25266642405029466,0.23776923139657014,0.2138207322300694,0.1913097950305362,0.18429534747218498,0.18429534747218487,0.18429534747218487,0.17965488051950504,0.1780774898985224,0.17699699079251194,0.16678570873701135,0.16355451263207824,0.16355451263207824,0.16355451263207824,0.16172474297426315,0.15864572882621464,0.15141111285223294,0.12553386838723604,0.1203266370408834,0.12032663704088338,0.11590842275860636,0.11550271221630075,0.1155027122163007,0.1155027122163007,0.11298217138282372,0.11298217138282371,0.11298217138282358,0.10416004070367796,0.09839730249543517,0.0983837631215446,0.0979724234406586,0.09759244144648181,0.08923694970646628,0.08923694970646627,0.08389721077047048,0.07909292954831715,0.07908742921763068,0.07765274123150405,0.07591277107079097,0.05302275165867711,0.05302275165867711,0.05230193354895215,0.04885057444100233,0.048850574441002305,0.048850574429135186,0.04885057442913516,0.04885057442913516,0.044938669554636344,0.044938669554636344,0.044938669554636344,0.04393115603906241,0.03679872800607861,0.036423983198970944,0.03175889076595754,0.031014379624657685,0.016150945239317073,0.004041287216959635,0.0006912587259597532,0.0006912558187231209,0.0006912558187231209,1.9404688481444265e-16,1.0997200384403433e-16,5.206204545141412e-17,3.9009346273634376e-17,3.262393930447231e-17,2.992173308583248e-17,2.4118445222827103e-17,7.854929192032667e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7332693700182334e-18,5.983464433169409e-18,1.043864294081233e-16,1.2786816975669198e-16,1.744492668226217e-16,1.9884929183073353e-16,0.0007410383946084787,0.005118875226979997,0.008747690003162834,0.013959552851558532,0.014049839476644793,0.017391396511306043,0.018607492595135694,0.018607492595135694,0.020133769782378748,0.0560326489277907,0.06928824319848953,0.10408877369289682,0.11368626589644008,0.11372320977743215,0.11372320977743217,0.11383088259804834,0.14106682322271555,0.14240797946117292,0.15993650269389462,0.15993650269389462,0.15993650269389462,0.15993650269389462,0.15993650269389473,0.15993650269389473,0.15993650269389473,0.15993650269389473,0.15993650269389473,0.15993650269389473,0.15993650269389473,0.15993650269389473,0.15993650269389473,0.15993650269389473,0.1599365026938949,0.20210847714268096,0.20354033815296235,0.20354033815296235,0.3743652332081873,0.4170093761966114,0.4940229061256201
