,F_value,pvalue,value_counts,name
quln_c,15.317911977338609,0.0005556715178987966,"[(0.8260168635935674, 1), (0.8563720897380435, 1), (0.8052905212835275, 1), (0.5696643301902193, 1), (0.8709556908087475, 1), (0.8260168635933256, 1), (0.8597848141274618, 1), (0.569664330190226, 1), (0.9455057071538961, 1), (0.9455057071531936, 1), (0.8709556908087805, 1), (0.931178252997904, 1), (0.5878663589140367, 1), (0.8709556908088338, 1), (0.0451235282849225, 1), (0.9254499836527439, 1), (0.05449429284063734, 1), (0.5878663589140583, 1), (0.5533024984160361, 1), (0.5724891601466938, 1), (0.054494292844024406, 1), (0.8595114733408771, 1), (0.6684165450488961, 1), (0.8408384423505183, 1), (0.05449429284395624, 1), (0.42867767856022687, 1), (0.5696643301902246, 1), (0.4286776785602746, 1), (0.05449429284394869, 1)]",Quinolinate
4ppan_c,15.313896454874508,0.0005564233181410525,"[(0.8051294096367516, 1), (0.8543316167717997, 1), (0.8246684811015397, 1), (0.5597421518193179, 1), (0.8919137723131085, 1), (0.7881265069396831, 1), (0.8523345619987452, 1), (0.5597421518193277, 1), (0.968257709217175, 1), (0.9682577092177174, 1), (0.8919137723131287, 1), (0.9316246820252683, 1), (0.5834441387924904, 1), (0.8919137723131095, 1), (0.06145243358467489, 1), (0.9163776964859536, 1), (0.11995039840385235, 1), (0.5834441387925065, 1), (0.5410758788411351, 1), (0.5523035110831807, 1), (0.06693600856889659, 1), (0.788126506939603, 1), (0.6290544974001462, 1), (0.8634215815970938, 1), (0.06693600856886417, 1), (0.47148147633448434, 1), (0.5597421518193242, 1), (0.4714814763345183, 1), (0.06693600856886528, 1)]",D-4-Phosphopantothenate
ichor_c,15.2965551137543,0.0005596826589920401,"[(0.6477351498172264, 1), (0.6726036959622863, 1), (0.663026416721279, 1), (0.47884344876262597, 1), (0.7170910566282611, 1), (0.6418363698153059, 1), (0.6732965298253638, 1), (0.4788434487626314, 1), (0.778470929976154, 1), (0.7784709299772663, 1), (0.7170910566282575, 1), (0.7426210511231999, 1), (0.46955909806661855, 1), (0.7170910566283757, 1), (0.010270113104099754, 1), (0.7273611697323554, 1), (0.010270113103900358, 1), (0.46955909806662555, 1), (0.48343130908231247, 1), (0.9798018305699887, 1), (0.010270113104093093, 1), (0.6418363698153526, 1), (0.5538918647201454, 1), (0.6694501342627366, 1), (0.01027011310409065, 1), (0.40320630527553325, 1), (0.4788434487626272, 1), (0.40320630527555457, 1), (0.010270113104089873, 1)]",Isochorismate
chor_c,15.296555113752234,0.0005596826589924313,"[(0.6477351498172262, 1), (0.6726036959623611, 1), (0.6630264167212789, 1), (0.47884344876262586, 1), (0.7170910566282611, 1), (0.6418363698152949, 1), (0.6732965298253638, 1), (0.4788434487626313, 1), (0.7784709299760901, 1), (0.7784709299772723, 1), (0.7170910566282738, 1), (0.7426210511232164, 1), (0.46955909806661844, 1), (0.7170910566282607, 1), (0.010270113104099532, 1), (0.7273611697323474, 1), (0.010270113104083878, 1), (0.46955909806662544, 1), (0.48343130908240173, 1), (0.9798018305699887, 1), (0.01027011310409287, 1), (0.6418363698153526, 1), (0.5538918647201454, 1), (0.6694501342626835, 1), (0.010270113104090428, 1), (0.40320630527553303, 1), (0.4788434487626272, 1), (0.40320630527555434, 1), (0.010270113104089651, 1)]",chorismate
pphn_c,15.296555113752177,0.0005596826589924411,"[(0.6477351498172264, 1), (0.6726036959623611, 1), (0.6630264167212789, 1), (0.47884344876262597, 1), (0.7170910566282612, 1), (0.641836369815295, 1), (0.6732965298253638, 1), (0.4788434487626314, 1), (0.7784709299760901, 1), (0.7784709299772723, 1), (0.7170910566282738, 1), (0.7426210511232164, 1), (0.46955909806661855, 1), (0.7170910566282608, 1), (0.010270113104099643, 1), (0.7273611697323474, 1), (0.010270113104083878, 1), (0.46955909806662555, 1), (0.48343130908240173, 1), (0.9798018305699887, 1), (0.010270113104092982, 1), (0.6418363698153526, 1), (0.5538918647201454, 1), (0.6694501342626835, 1), (0.010270113104090539, 1), (0.40320630527553325, 1), (0.4788434487626272, 1), (0.40320630527555446, 1), (0.010270113104089762, 1)]",Prephenate
glyald_c,15.28340634213278,0.0005621677355567641,"[(0.7991054746555099, 1), (0.8446562315029288, 1), (0.8416327299590782, 1), (0.5257203606079275, 1), (0.910261323528784, 1), (0.8446562315029005, 1), (0.844656231502906, 1), (0.5257203606079364, 1), (0.9881757309606293, 1), (0.9881757309627435, 1), (0.9102613235308146, 1), (0.9090127254071769, 1), (0.5287522090736346, 1), (0.9102613235287953, 1), (0.003023501544145324, 1), (0.9132848250726231, 1), (0.003023501544116902, 1), (0.5287522090736403, 1), (0.5257203606079287, 1), (0.5257203606079334, 1), (0.003023501544125562, 1), (0.8446562315029063, 1), (0.5794084501810298, 1), (0.8446562315029045, 1), (0.003023501544139773, 1), (0.46546693773292047, 1), (0.5257203606079202, 1), (0.46546693773295467, 1), (0.0030235015441339996, 1)]",D-Glyceraldehyde
arab__D_c,15.24824899060271,0.0005688710610217512,"[(0.8062006592112678, 1), (0.8521558570702286, 1), (0.849105510132192, 1), (0.5023012665652908, 1), (0.9183434507188473, 1), (0.8337737779265979, 1), (0.8521558570702104, 1), (0.5023012665652955, 1), (0.9969496530607043, 1), (0.996949653063302, 1), (0.9183434507187966, 1), (0.9170837664084851, 1), (0.5053600345367326, 1), (0.9183434507188499, 1), (0.0030503469380043224, 1), (0.9213937976568656, 1), (0.0030503469379947745, 1), (0.5053600345367449, 1), (0.5023012665652842, 1), (0.5023012665652924, 1), (0.0030503469380254167, 1), (0.8337737779266327, 1), (0.5564660477843058, 1), (0.8521558570701926, 1), (0.003050346938052506, 1), (0.44151285904933946, 1), (0.5023012665652851, 1), (0.44151285904937876, 1), (0.003050346938036963, 1)]",D-Arabinose
iasp_c,15.198458731028655,0.0005785124562168274,"[(0.7551882646609975, 1), (0.7946721700777637, 1), (0.6696459316742006, 1), (0.4451686939641928, 1), (0.7242503414655614, 1), (0.7551882646604543, 1), (0.8031858068693363, 1), (0.4451686939641962, 1), (0.786243018434265, 1), (0.7862430184276533, 1), (0.7242503414656515, 1), (0.8134868080417483, 1), (0.5232288120900589, 1), (0.7242503414657739, 1), (0.11016286703059297, 1), (0.857790216660852, 1), (0.13353987518691524, 1), (0.5232288120900986, 1), (0.3902571851280848, 1), (0.4381216624717251, 1), (0.13353987519535204, 1), (0.8387464162503702, 1), (0.5354109171444452, 1), (0.7559207747656675, 1), (0.1335398751951642, 1), (0.2125219692671324, 1), (0.44516869396420267, 1), (0.21252196926722156, 1), (0.13353987519515287, 1)]",Iminoaspartate
metsox__S__L_c,15.184402859402649,0.0005812660624910299,"[(0.799903271022986, 1), (0.8706596501521746, 1), (0.8876638837703379, 1), (0.687485788452612, 1), (0.940272808189253, 1), (0.7766245743013547, 1), (0.8633685292220029, 1), (0.6874857884526173, 1), (0.9999999999977502, 1), (0.9999999999999999, 1), (0.9402728081892421, 1), (0.929339887951019, 1), (0.6788034123787656, 1), (0.9402728081892567, 1), (0.26044802347500984, 1), (0.8865415853357428, 1), (0.30531563330594236, 1), (0.6788034123787869, 1), (0.6190629157984431, 1), (0.6293107599664497, 1), (0.1736872729064699, 1), (0.8284157414599469, 1), (0.6336670588198965, 1), (0.9038465380063547, 1), (0.17368727290645314, 1), (0.5864720033266223, 1), (0.6874857884526211, 1), (0.5864720033266408, 1), (0.28940488817370347, 1)]",L-Methionine-Sulfoxide
tartr__L_c,15.1582120916498,0.0005864347706837171,"[(0.7714739741594966, 1), (0.8628818753867851, 1), (0.7176365550193721, 1), (0.5203524101961023, 1), (0.7761542263409414, 1), (0.7714739741592993, 1), (0.87504690507149, 1), (0.5203524101961045, 1), (0.8425896499469583, 1), (0.842589649943157, 1), (0.7761542263410492, 1), (0.8131250058022089, 1), (0.58110935542471, 1), (0.7761542263409344, 1), (0.15741035005215132, 1), (0.9335645763930577, 1), (0.15741035005212045, 1), (0.5811093554247142, 1), (0.5002135789554495, 1), (0.5002135789554438, 1), (0.15741035005216997, 1), (0.7714739741594888, 1), (0.550706712861282, 1), (0.8075104887707096, 1), (0.15741035005212822, 1), (0.3005409098124805, 1), (0.5203524101961055, 1), (0.30054090981253956, 1), (0.15741035005211046, 1)]",L-tartrate
