,F_value,pvalue,value_counts,name
cysOamp_c,6.949287405647025,0.012826303704263468,"[(0.9789085321653613, 17), (0.7086194099341454, 1), (0.9557157808026474, 1), (0.0, 1), (0.7733032168724723, 1), (0.20406557279141813, 1), (0.20252402434996353, 1), (0.20400010905316157, 1), (0.9890542106332366, 1), (0.1726661673286607, 1), (0.7507719484226442, 1), (0.9890542106332367, 1), (0.20400010905316301, 1), (0.20400010905315846, 1), (0.20400010905314536, 1), (0.20406557279169135, 1), (0.20406557279142867, 1), (0.2040655727914269, 1)]",CysO-amp
oxa_c,6.43437960767306,0.01627013453283151,"[(0.5339398649541625, 1), (0.3694393003046606, 1), (0.3767303638998015, 1), (0.20237649804225016, 1), (0.4797742188174952, 1), (3.019806626980426e-14, 1), (0.3767303638998, 1), (0.8611924166941591, 1), (0.19497232721333524, 1), (0.20237649804224783, 1), (0.2024852209605013, 1), (0.5339398649541607, 1), (0.5339398649541618, 1), (3.530509218307998e-14, 1), (0.19849827767424022, 1), (0.3694393003046607, 1), (1.0, 1), (0.5339398649541628, 1), (0.20237649804229013, 1), (0.8292045626672493, 1), (0.2023764980422476, 1), (0.8606998588820289, 1), (0.5352085123045409, 1), (0.5355779306636027, 1), (0.8301896782914168, 1), (0.20237649804224728, 1), (0.8460557031615855, 1), (0.20237649804235752, 1), (0.5355779306635968, 1), (0.706355585589693, 1), (0.8611924166941266, 1), (0.8534359759581072, 1), (0.8606998588820354, 1), (0.8611924166941145, 1)]",Oxalate
ser__L_c,6.055217571437832,0.019445962565304648,"[(0.9935622831782979, 1), (0.3382442406347085, 1), (0.9018685375052282, 1), (0.12275813642712197, 1), (0.6954884468486158, 1), (1.4210854715202004e-14, 1), (0.8406985684300647, 1), (0.12238371955598137, 1), (0.1115016040676895, 1), (0.12275813642711342, 1), (0.8045611235473553, 1), (0.7579474051307813, 1), (0.7579474051307792, 1), (0.6616665461387172, 1), (0.7781542222242706, 1), (0.8333088511846738, 1), (0.6954884468486147, 1), (0.7579474051307815, 1), (0.8037515616906115, 1), (0.11427855103488505, 1), (0.8037515616905728, 1), (0.7844246825658074, 1), (0.9970982692485053, 1), (1.0, 1), (0.7766939309158939, 1), (0.12275813642708222, 1), (0.11087757594909464, 1), (0.7840502656945982, 1), (0.7597295569955755, 1), (2.6867397195928788e-14, 1), (0.12238371955595961, 1), (0.11648767608556199, 1), (0.12275813642709676, 1), (0.804313186997291, 1)]",L-Serine
pser__L_c,6.0508127460209495,0.019486608351915537,"[(0.9931347941820154, 1), (0.485216156372695, 1), (0.8574832172986104, 1), (0.08636448077804004, 1), (0.7857658730877961, 1), (1.0880185641326534e-14, 1), (0.8144480851913249, 1), (0.08610106590703659, 1), (0.07844513139006104, 1), (0.08636448077803349, 1), (0.5660358303876263, 1), (0.8273717971342772, 1), (0.827371797134276, 1), (0.465504685625414, 1), (0.5474576865015877, 1), (0.8335107728123398, 1), (0.7857658730877951, 1), (0.8273717971342773, 1), (0.5654662763731783, 1), (0.08039880704814995, 1), (0.5654662763730928, 1), (0.5518691664034308, 1), (0.9974317050076557, 1), (0.9999999999999999, 1), (0.5464303224155613, 1), (0.08636448077801173, 1), (0.0780061066050497, 1), (0.551605751532386, 1), (0.8309616563077621, 1), (1.9984014443252818e-14, 1), (0.08610106590702904, 1), (0.0819530008761794, 1), (0.08636448077801429, 1), (0.5658613986795924, 1)]",O-Phospho-L-serine
3php_c,6.017994859053035,0.019792366009863487,"[(0.8514274778373372, 2), (0.993610442880277, 1), (0.6150870227379472, 1), (0.8786565241486219, 1), (0.1526573504283978, 1), (0.8251652971061911, 1), (4.884981308350689e-15, 1), (0.8417432033652975, 1), (0.15243140671323474, 1), (0.13907173002762518, 1), (0.15265735042838802, 1), (0.5641944853352707, 1), (0.8514274778373365, 1), (0.3992859541779449, 1), (0.544601367626282, 1), (0.9138362137870216, 1), (0.8251652971061896, 1), (0.5636062055307914, 1), (0.13775809445828857, 1), (0.5636062055307433, 1), (0.5519433046063209, 1), (0.9976840769191431, 1), (0.9999999999999999, 1), (0.5379478234970326, 1), (0.1526573504283718, 1), (0.13854452802547035, 1), (0.5517173608911194, 1), (0.8550076112270825, 1), (8.881784197001252e-15, 1), (0.152431406713191, 1), (0.14531541344833532, 1), (0.1526573504283757, 1), (0.563945121103536, 1)]",3-Phosphohydroxypyruvate
btn_c,6.004327403300009,0.01992124082863475,"[(0.8751004784319348, 1), (0.5100345178025621, 1), (0.7735529830632176, 1), (0.1459663948497958, 1), (0.7964839190628488, 1), (0.11238526051893438, 1), (0.7735529830632152, 1), (0.13470827878115454, 1), (0.09845965726252393, 1), (0.14596639484980634, 1), (0.4996438470110172, 1), (0.7494395498762838, 1), (0.7494395498762775, 1), (0.5405748761289233, 1), (0.4380185395922156, 1), (0.7752905535352298, 1), (0.7964839190628372, 1), (0.7494395498762796, 1), (0.500487888136818, 1), (0.18030721811716444, 1), (0.5004878881366974, 1), (0.5004878881367507, 1), (0.8133223636134881, 1), (0.8087269978713376, 1), (0.5336250341525899, 1), (0.14596639484981622, 1), (0.1686157867322735, 1), (0.42222301428063425, 1), (0.7856841840904508, 1), (0.11238526051892728, 1), (0.1455651690993035, 1), (0.08349704630531818, 1), (0.14596639484980134, 1), (0.5000866623862245, 1)]",Biotin
lgt__s_c,5.84718668143879,0.02147050665448642,"[(0.8628240355396144, 1), (0.49488738541403665, 1), (0.7666349548526545, 1), (0.04961639989789801, 1), (0.8421172939893106, 1), (0.08775231776505699, 1), (0.6377190342781572, 1), (0.0491792169232379, 1), (0.07590348618540632, 1), (0.37764150776722993, 1), (0.6501845852961894, 1), (0.7715423926221745, 1), (0.7715423926221707, 1), (0.3452810876757695, 1), (0.3204768632972733, 1), (0.6875726298551696, 1), (0.7744366153902689, 1), (0.7715423926221716, 1), (0.6502147965108442, 1), (0.08388016259549536, 1), (0.650214796510716, 1), (0.30714516980863327, 1), (0.8679536921460604, 1), (0.87046749424964, 1), (0.3402431112407721, 1), (0.04961639989791522, 1), (0.07604921384358199, 1), (0.30670798683476197, 1), (0.8537289111153195, 1), (0.08775231776505221, 1), (0.049179216923363134, 1), (0.06294809338657825, 1), (0.3776415077672126, 1), (0.6505062518270857, 1)]",(R)-S-Lactoylglutathione
cys__L_c,5.694857969089517,0.023098507942995616,"[(0.797190826299353, 1), (0.4105020832220774, 1), (0.6579901649448483, 1), (0.07488230718084177, 1), (0.7803020027027174, 1), (0.12176549526966374, 1), (0.623132485156799, 1), (0.07424222331609787, 1), (0.10695495708088887, 1), (0.07488230718085587, 1), (0.46241556874194634, 1), (0.6635444810069988, 1), (0.663544481006991, 1), (0.4988158835643981, 1), (0.4680919004134616, 1), (0.6926144323020829, 1), (0.6812100598698153, 1), (0.6635444810069938, 1), (0.46294610898593913, 1), (0.11581076354698994, 1), (0.4629461089857867, 1), (0.45193269547561077, 1), (0.8006712464654746, 1), (0.8023247964491688, 1), (0.4915809841123967, 1), (0.0748823071808784, 1), (0.10702607751028659, 1), (0.4512926116119964, 1), (0.7778176733324981, 1), (0.12176549526965796, 1), (0.07424222331618724, 1), (0.09104151211874778, 1), (0.07488230718084576, 1), (0.46283942834169645, 1)]",L-Cysteine
ser__L_e,5.657001585767608,0.02352368045403576,"[(0.9937320787776319, 1), (0.27986803742229727, 1), (0.9194980720936493, 1), (0.13721343849721657, 1), (0.659630893021618, 1), (1.4876988529977098e-14, 1), (0.8511250743123209, 1), (0.13679493241839003, 1), (0.12463140071506262, 1), (0.1372134384972078, 1), (0.8993016793526928, 1), (0.7303725286984759, 1), (0.7303725286984736, 1), (0.7395806467636518, 1), (0.8697852510648753, 1), (0.8332286493453602, 1), (0.6596308930216168, 1), (0.7303725286984761, 1), (0.898396788082135, 1), (0.1277353452109905, 1), (0.8983967880821147, 1), (0.876794085260834, 1), (0.9969658309283218, 1), (0.9999999999999998, 1), (0.8681530041323153, 1), (0.1372134384971735, 1), (0.12393389058364923, 1), (0.8763755791819285, 1), (0.7314366720330636, 1), (2.9976021664879227e-14, 1), (0.13679493241836282, 1), (0.13020460430123137, 1), (0.13721343849718914, 1), (0.8990245472003752, 1)]",L-Serine
cgly_c,5.5922706769985355,0.024270622498422958,"[(0.8115124433765369, 1), (0.451808534100929, 1), (0.6766281520865125, 1), (0.09435258948807423, 1), (0.8037770986985912, 1), (0.11285271634306238, 1), (0.6443219241129303, 1), (0.09375935736871044, 1), (0.12407764134717847, 1), (0.09435258948808645, 1), (0.453519865436002, 1), (0.6876485108054673, 1), (0.6876485108054616, 1), (0.46230442614830436, 1), (0.4587807108551091, 1), (0.713271314152804, 1), (0.7119383155388919, 1), (0.6876485108054635, 1), (0.45401157211803456, 1), (0.13228523589516006, 1), (0.4540115721178838, 1), (0.4438042992933442, 1), (0.8160962851377636, 1), (0.8188152656844543, 1), (0.4805504814618319, 1), (0.09435258948811054, 1), (0.12414355602708904, 1), (0.44321106717503067, 1), (0.796101972338498, 1), (0.11285271634306371, 1), (0.09375935736879637, 1), (0.1093290010498893, 1), (0.09435258948806546, 1), (0.45391270009802065, 1)]",Cys-Gly
